"Plot Title: rovingDO"
"#","Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733145, SEN S/N: 10733145)","Temp, °F (LGR S/N: 10733145, SEN S/N: 10733145)","Coupler Attached (LGR S/N: 10733145)","Host Connected (LGR S/N: 10733145)","Stopped (LGR S/N: 10733145)","End Of File (LGR S/N: 10733145)"
72,05/30/23 11:51:00 AM,2.23,73.98,,,,
73,05/30/23 11:52:00 AM,2.17,73.90,,,,
74,05/30/23 11:53:00 AM,2.26,73.83,,,,
75,05/30/23 11:54:00 AM,2.29,73.76,,,,
76,05/30/23 11:55:00 AM,2.31,73.72,,,,
77,05/30/23 11:56:00 AM,2.32,73.69,,,,
78,05/30/23 11:57:00 AM,2.27,73.69,,,,
79,05/30/23 11:58:00 AM,2.32,73.69,,,,
80,05/30/23 11:59:00 AM,2.27,73.69,,,,
81,05/30/23 12:00:00 PM,2.30,73.65,,,,
82,05/30/23 12:01:00 PM,2.34,73.62,,,,
83,05/30/23 12:02:00 PM,2.26,73.62,,,,
84,05/30/23 12:03:00 PM,2.23,73.62,,,,
85,05/30/23 12:04:00 PM,2.26,73.58,,,,
86,05/30/23 12:05:00 PM,2.22,73.58,,,,
87,05/30/23 12:06:00 PM,2.24,73.58,,,,
88,05/30/23 12:07:00 PM,2.31,73.58,,,,
89,05/30/23 12:08:00 PM,2.35,73.54,,,,
90,05/30/23 12:09:00 PM,2.35,73.51,,,,
91,05/30/23 12:10:00 PM,2.37,73.47,,,,
92,05/30/23 12:11:00 PM,2.27,73.44,,,,
93,05/30/23 12:12:00 PM,2.25,73.40,,,,
94,05/30/23 12:13:00 PM,2.23,73.40,,,,
95,05/30/23 12:14:00 PM,2.18,73.36,,,,
96,05/30/23 12:15:00 PM,2.17,73.36,,,,
97,05/30/23 12:16:00 PM,2.12,73.36,,,,
98,05/30/23 12:17:00 PM,8.41,73.33,,,,
99,05/30/23 12:18:00 PM,8.42,73.29,,,,
100,05/30/23 12:19:00 PM,8.58,73.54,,,,
101,05/30/23 12:19:56 PM,,,Logged,,,
102,05/30/23 12:19:58 PM,,,,Logged,,
103,05/30/23 12:20:00 PM,8.39,73.87,,,,
104,05/30/23 12:20:02 PM,,,,,Logged,Logged
