Date,"Abs Pres, psi (LGR S/N: 21248108, SEN S/N: 21248108)",Temp
2022-08-18 08:41,15.4449,71.856
2022-08-18 09:41,15.4412,72.028
2022-08-18 10:41,15.4375,72.199
2022-08-18 11:41,15.4285,72.545
2022-08-18 12:41,15.4226,72.891
2022-08-18 13:41,15.4143,73.062
2022-08-18 14:41,15.4226,72.891
2022-08-18 15:41,15.4162,72.545
2022-08-18 16:41,15.4184,72.372
2022-08-18 17:41,15.4107,72.372
2022-08-18 18:41,15.4061,72.372
2022-08-18 19:41,15.4082,72.199
2022-08-18 20:41,15.415,72.028
2022-08-18 21:41,15.4227,72.028
2022-08-18 22:41,15.4274,72.028
2022-08-18 23:41,15.4172,71.856
2022-08-19 00:41,15.4126,71.856
2022-08-19 01:41,15.4063,71.856
2022-08-19 02:41,15.4033,71.856
2022-08-19 03:41,15.4018,71.856
2022-08-19 04:41,15.4003,71.856
2022-08-19 05:41,15.4008,71.683
2022-08-19 06:41,15.4085,71.683
2022-08-19 07:41,15.4219,71.856
2022-08-19 08:41,15.4264,71.856
2022-08-19 09:41,15.4258,72.028
2022-08-19 10:41,15.4206,72.199
2022-08-19 11:41,15.4123,72.372
2022-08-19 12:41,15.4047,72.718
2022-08-19 13:41,15.4072,72.891
2022-08-19 14:41,15.3915,72.545
2022-08-19 15:41,15.394,72.718
2022-08-19 16:41,15.394,72.718
2022-08-19 17:41,15.3869,72.545
2022-08-19 18:41,15.3876,72.372
2022-08-19 19:41,15.3852,72.199
2022-08-19 20:41,15.3934,72.028
2022-08-19 21:41,15.4156,71.856
2022-08-19 22:41,15.4219,71.856
2022-08-19 23:41,15.411,71.856
2022-08-20 00:41,15.4126,71.856
2022-08-20 01:41,15.4049,71.856
2022-08-20 02:41,15.4049,71.856
2022-08-20 03:41,15.3947,71.683
2022-08-20 04:41,15.3931,71.683
2022-08-20 05:41,15.3978,71.683
2022-08-20 06:41,15.4132,71.683
2022-08-20 07:41,15.4178,71.683
2022-08-20 08:41,15.4233,71.856
2022-08-20 09:41,15.4258,72.028
2022-08-20 10:41,15.4261,72.372
2022-08-20 11:41,15.4156,72.718
2022-08-20 12:41,15.4033,72.718
2022-08-20 13:41,15.3937,73.234
2022-08-20 14:41,15.3875,73.234
2022-08-20 15:41,15.3918,72.891
2022-08-20 16:41,15.3778,72.545
2022-08-20 17:41,15.3691,72.372
2022-08-20 18:41,15.3723,72.372
2022-08-20 19:41,15.3744,72.199
2022-08-20 20:41,15.392,72.028
2022-08-20 21:41,15.4011,72.028
2022-08-20 22:41,15.4058,72.028
2022-08-20 23:41,15.392,72.028
2022-08-21 00:41,15.3827,72.028
2022-08-21 01:41,15.3765,72.028
2022-08-21 02:41,15.3772,71.856
2022-08-21 03:41,15.371,71.856
2022-08-21 04:41,15.3695,71.856
2022-08-21 05:41,15.3725,71.856
2022-08-21 06:41,15.3786,71.856
2022-08-21 07:41,15.3818,71.856
2022-08-21 08:41,15.3833,71.856
2022-08-21 09:41,15.3873,72.028
2022-08-21 10:41,15.3805,72.199
2022-08-21 11:41,15.374,72.718
2022-08-21 12:41,15.3605,73.062
2022-08-21 13:41,15.3454,73.407
2022-08-21 14:41,15.3309,73.58
2022-08-21 15:41,15.3238,73.407
2022-08-21 16:41,15.3158,73.062
2022-08-21 17:41,15.3254,72.545
2022-08-21 18:41,15.3292,72.372
2022-08-21 19:41,15.3251,72.199
2022-08-21 20:41,15.335,72.028
2022-08-21 21:41,15.3427,72.028
2022-08-21 22:41,15.3356,71.856
2022-08-21 23:41,15.3388,71.856
2022-08-22 00:41,15.3356,71.856
2022-08-22 01:41,15.3232,71.856
2022-08-22 02:41,15.3141,71.856
2022-08-22 03:41,15.3079,71.856
2022-08-22 04:41,15.3079,71.856
2022-08-22 05:41,15.3095,71.856
2022-08-22 06:41,15.3202,71.856
2022-08-22 07:41,15.3264,71.856
2022-08-22 08:41,15.3279,71.856
2022-08-22 09:41,15.3273,72.028
2022-08-22 10:41,15.319,72.199
2022-08-22 11:41,15.3169,72.372
2022-08-22 12:41,15.3015,72.372
2022-08-22 13:41,15.2848,72.718
2022-08-22 14:41,15.2712,73.062
2022-08-22 15:41,15.2697,73.062
2022-08-22 16:41,15.2709,72.718
2022-08-22 17:41,15.2709,72.718
2022-08-22 18:41,15.2691,72.372
2022-08-22 19:41,15.276,72.199
2022-08-22 20:41,15.2873,72.028
2022-08-22 21:41,15.2966,72.028
2022-08-22 22:41,15.298,72.028
2022-08-22 23:41,15.2903,72.028
2022-08-23 00:41,15.2802,71.856
2022-08-23 01:41,15.2694,71.856
2022-08-23 02:41,15.2617,71.856
2022-08-23 03:41,15.2587,71.856
2022-08-23 04:41,15.2587,71.856
2022-08-23 05:41,15.2587,71.856
2022-08-23 06:41,15.268,71.856
2022-08-23 07:41,15.2771,71.856
2022-08-23 08:41,15.2757,71.856
2022-08-23 09:41,15.2842,72.028
2022-08-23 10:41,15.2851,72.199
2022-08-23 11:41,15.286,72.372
2022-08-23 12:41,15.2807,72.545
2022-08-23 13:41,15.2771,72.718
2022-08-23 14:41,15.2687,72.891
2022-08-23 15:41,15.2596,72.891
2022-08-23 16:41,15.2601,72.718
2022-08-23 17:41,15.2761,72.545
2022-08-23 18:41,15.2815,72.372
2022-08-23 19:41,15.2867,72.199
2022-08-23 20:41,15.2935,72.028
2022-08-23 21:41,15.2996,72.028
2022-08-23 22:41,15.3048,71.856
2022-08-23 23:41,15.3079,71.856
2022-08-24 00:41,15.3079,71.856
2022-08-24 01:41,15.3125,71.856
2022-08-24 02:41,15.3141,71.856
2022-08-24 03:41,15.3155,71.856
2022-08-24 04:41,15.3171,71.856
2022-08-24 05:41,15.3248,71.856
2022-08-24 06:41,15.3372,71.856
2022-08-24 07:41,15.3448,71.856
2022-08-24 08:41,15.3479,71.856
2022-08-24 09:41,15.3566,72.028
2022-08-24 10:41,15.3589,72.199
2022-08-24 11:41,15.3578,72.545
2022-08-24 12:41,15.3534,72.891
2022-08-24 13:41,15.3491,73.234
2022-08-24 14:41,15.3377,73.407
2022-08-24 15:41,15.329,73.234
2022-08-24 16:41,15.3318,72.891
2022-08-24 17:41,15.3386,72.718
2022-08-24 18:41,15.3408,72.545
2022-08-24 19:41,15.3614,72.372
2022-08-24 20:41,15.3775,72.199
2022-08-24 21:41,15.3852,72.199
2022-08-24 22:41,15.392,72.028
2022-08-24 23:41,15.395,72.028
2022-08-25 00:41,15.3888,72.028
2022-08-25 01:41,15.3811,72.028
2022-08-25 02:41,15.3786,71.856
2022-08-25 03:41,15.3786,71.856
2022-08-25 04:41,15.3756,71.856
2022-08-25 05:41,15.3818,71.856
2022-08-25 06:41,15.3895,71.856
2022-08-25 07:41,15.3987,71.856
2022-08-25 08:41,15.4104,72.028
2022-08-25 09:41,15.4135,72.028
2022-08-25 10:41,15.4143,72.199
2022-08-25 11:41,15.4101,72.545
2022-08-25 12:41,15.3995,72.891
2022-08-25 13:41,15.3943,73.062
2022-08-25 14:41,15.3765,72.891
2022-08-25 15:41,15.374,72.718
2022-08-25 16:41,15.3786,72.718
2022-08-25 17:41,15.4423,72.545
2022-08-25 18:41,15.4162,72.545
2022-08-25 19:41,15.4168,72.372
2022-08-25 20:41,15.4266,72.199
2022-08-25 21:41,15.4252,72.199
2022-08-25 22:41,15.4165,72.028
2022-08-25 23:41,15.4135,72.028
2022-08-26 00:41,15.4042,72.028
2022-08-26 01:41,15.392,72.028
2022-08-26 02:41,15.3772,71.856
2022-08-26 03:41,15.3772,71.856
2022-08-26 04:41,15.3695,71.856
2022-08-26 05:41,15.371,71.856
2022-08-26 06:41,15.3818,71.856
2022-08-26 07:41,15.3802,71.856
2022-08-26 08:41,15.3879,71.856
2022-08-26 09:41,15.3873,72.028
2022-08-26 10:41,15.3866,72.199
2022-08-26 11:41,15.3808,72.545
2022-08-26 12:41,15.3666,73.062
2022-08-26 13:41,15.3491,73.234
2022-08-26 14:41,15.3422,73.407
2022-08-26 15:41,15.3312,73.062
2022-08-26 16:41,15.3441,72.891
2022-08-26 17:41,15.3347,72.545
2022-08-26 18:41,15.3446,72.372
2022-08-26 19:41,15.3589,72.199
2022-08-26 20:41,15.3605,72.199
2022-08-26 21:41,15.3688,72.028
2022-08-26 22:41,15.3627,72.028
2022-08-26 23:41,15.3611,72.028
2022-08-27 00:41,15.352,72.028
2022-08-27 01:41,15.3341,71.856
2022-08-27 02:41,15.3372,71.856
2022-08-27 03:41,15.3418,71.856
2022-08-27 04:41,15.3448,71.856
2022-08-27 05:41,15.3495,71.856
2022-08-27 06:41,15.3586,71.856
2022-08-27 07:41,15.3633,71.856
2022-08-27 08:41,15.3673,72.028
2022-08-27 09:41,15.3673,72.028
2022-08-27 10:41,15.3652,72.199
2022-08-27 11:41,15.3608,72.545
2022-08-27 12:41,15.3525,72.718
2022-08-27 13:41,15.3451,73.062
2022-08-27 14:41,15.3337,73.234
2022-08-27 15:41,15.3276,73.234
2022-08-27 16:41,15.3328,73.062
2022-08-27 17:41,15.374,72.718
2022-08-27 18:41,15.3715,72.545
2022-08-27 19:41,15.3953,72.372
2022-08-27 20:41,15.4036,72.199
2022-08-27 21:41,15.4129,72.199
2022-08-27 22:41,15.4227,72.028
2022-08-27 23:41,15.4335,72.028
2022-08-28 00:41,15.431,71.856
2022-08-28 01:41,15.434,71.856
2022-08-28 02:41,15.4403,71.856
2022-08-28 03:41,15.4526,71.856
2022-08-28 04:41,15.4664,71.856
2022-08-28 05:41,15.4864,71.856
2022-08-28 06:41,15.5064,71.856
2022-08-28 07:41,15.5203,71.856
2022-08-28 08:41,15.5396,72.028
2022-08-28 09:41,15.552,72.028
2022-08-28 10:41,15.5684,72.199
2022-08-28 11:41,15.5753,72.372
2022-08-28 12:41,15.5802,72.718
2022-08-28 13:41,15.575,72.891
2022-08-28 14:41,15.5975,73.062
2022-08-28 15:41,15.5991,73.062
2022-08-28 16:41,15.6243,72.891
2022-08-28 17:41,15.6309,72.372
2022-08-28 18:41,15.6493,72.372
2022-08-28 19:41,15.6729,72.199
2022-08-28 20:41,15.6983,72.028
2022-08-28 21:41,15.7183,72.028
2022-08-28 22:41,15.7275,72.028
2022-08-28 23:41,15.7428,72.028
2022-08-29 00:41,15.7428,72.028
2022-08-29 01:41,15.7444,72.028
2022-08-29 02:41,15.7675,72.028
2022-08-29 03:41,15.7798,72.028
2022-08-29 04:41,15.7937,72.028
2022-08-29 05:41,15.8122,72.028
2022-08-29 06:41,15.8399,72.028
2022-08-29 07:41,15.8584,72.028
2022-08-29 08:41,15.8754,72.028
2022-08-29 09:41,15.8985,72.028
2022-08-29 10:41,15.9133,72.199
2022-08-29 11:41,15.9218,72.372
