"TOA5","GilchristBlue","CR1000X","22889","CR1000X.Std.04.02","CPU:GilchristBlue_04272022.CR1X","22393","Test"
"2022-05-06 11:00:00",216,12.35,26.47,7.7047,8581.662,8426.477,28.82
"2022-05-06 12:00:00",217,12.36,27.49,7.723901,8449.722,8305.563,28.93
"2022-05-06 13:00:00",218,12.35,28.39,7.723901,8413.985,8273.148,29.03
"2022-05-06 14:00:00",219,12.36,28.69,7.7047,8418.409,8277.791,29.02
"2022-05-06 15:00:00",220,12.36,28.69,7.7047,8509.808,8361.479,28.94
"2022-05-06 16:00:00",221,12.36,28.07,7.723901,8689.924,8526.338,28.86
"2022-05-06 17:00:00",222,12.35,27.46,7.7047,8961.061,8771.254,28.7
"2022-05-06 18:00:00",223,12.36,26.91,7.6855,9335.208,9107.31,28.6
"2022-05-06 19:00:00",224,12.35,26.45,7.666301,9833.812,9548.379,28.5
"2022-05-06 20:00:00",225,12.35,25.96,7.666301,10369.82,10016.48,28.44
"2022-05-06 21:00:00",226,12.34,25.02,7.6471,10575,10265.42,28.41
"2022-05-06 22:00:00",227,12.35,24.74,7.6279,10571.21,10469.8,28.41
"2022-05-06 23:00:00",228,12.34,24.64,7.6471,10574.6,10507.93,28.39
"2022-05-07 00:00:00",229,12.34,24.15,7.6471,10577.68,10530.06,28.36
"2022-05-07 01:00:00",230,12.33,23.64,7.6471,10574.3,10528.15,28.32
"2022-05-07 02:00:00",231,12.34,23.28,7.6279,10578.62,10474.43,28.28
"2022-05-07 03:00:00",232,12.33,23.02,7.6279,10574.29,10423.33,28.26
"2022-05-07 04:00:00",233,12.33,22.75,7.6471,10577.94,10333.3,28.24
"2022-05-07 05:00:00",234,12.32,22.48,7.6471,10574.12,10275.04,28.22
"2022-05-07 06:00:00",235,12.33,22.27,7.6471,10577.99,10205.09,28.2
"2022-05-07 07:00:00",236,12.32,22.3,7.6471,10486.21,10117.32,28.21
"2022-05-07 08:00:00",237,12.32,22.8,7.6471,10264.43,9924.107,28.31
"2022-05-07 09:00:00",238,12.32,25.32,7.666301,9977.411,9673.588,28.5
"2022-05-07 10:00:00",239,12.32,25.67,7.6855,9632.193,9371.468,28.74
"2022-05-07 11:00:00",240,12.32,26.24,7.6855,9242.843,9024.704,29.03
"2022-05-07 12:00:00",241,12.32,27.36,7.6855,8892.443,8703.381,29.3
"2022-05-07 13:00:00",242,12.32,28.43,7.7047,8775.824,8603.624,29.29
"2022-05-07 14:00:00",243,12.33,29.15,7.7047,8851.442,8671.33,29.13
"2022-05-07 15:00:00",244,12.32,28.83,7.7047,9185.374,8972.919,28.97
"2022-05-07 16:00:00",245,12.33,28.29,7.6855,9593.688,9337.798,28.78
"2022-05-07 17:00:00",246,12.32,28.01,7.6471,9939.634,9641.557,28.63
"2022-05-07 18:00:00",247,12.33,27.49,7.6471,10245.9,9908.993,28.49
"2022-05-07 19:00:00",248,12.32,26.62,7.666301,10515.15,10141.23,28.37
"2022-05-07 20:00:00",249,12.32,25.65,7.6471,10578,10341.63,28.3
"2022-05-07 21:00:00",250,12.31,24.72,7.6471,10574.51,10431.42,28.24
"2022-05-07 22:00:00",251,12.31,23.7,7.6279,10578.61,10373.65,28.19
"2022-05-07 23:00:00",252,12.3,22.87,7.6471,10574.25,10278.38,28.16
"2022-05-08 00:00:00",253,12.3,22.29,7.6471,10512.37,10141.97,28.13
"2022-05-08 01:00:00",254,12.3,21.94,7.6471,10429.45,10066.29,28.12
"2022-05-08 02:00:00",255,12.3,21.49,7.6471,10302.54,9957.233,28.12
"2022-05-08 03:00:00",256,12.29,20.94,7.6471,10219.81,9885.479,28.09
"2022-05-08 04:00:00",257,12.29,20.27,7.666301,10087.72,9771.059,28.03
"2022-05-08 05:00:00",258,12.28,19.61,7.666301,9957.041,9656.178,28.03
"2022-05-08 06:00:00",259,12.28,19.13,7.666301,9913.972,9617.864,28.01
"2022-05-08 07:00:00",260,12.27,18.76,7.666301,9786.279,9506.753,28
"2022-05-08 08:00:00",261,12.28,19.63,7.666301,9636.525,9374.169,28.08
"2022-05-08 09:00:00",262,12.27,23.16,7.6855,9450.835,9208.145,28.29
"2022-05-08 10:00:00",263,12.28,24.06,7.723901,9212.416,8997.796,28.68
"2022-05-08 11:00:00",264,12.28,25.15,7.7047,8741.194,8572.607,29.09
"2022-05-08 12:00:00",265,12.28,26.66,7.7047,8591.071,8431.764,29.37
"2022-05-08 13:00:00",266,12.28,27.97,7.7047,8708.139,8542.648,29.26
"2022-05-08 14:00:00",267,12.29,28.97,7.7047,8878.221,8697.309,29.11
"2022-05-08 15:00:00",268,12.28,29.03,7.7047,9264.219,9043.927,28.97
"2022-05-08 16:00:00",269,12.29,28.82,7.6855,9653.885,9390.346,28.84
"2022-05-08 17:00:00",270,12.28,28.58,7.6855,10041.4,9730.552,28.7
"2022-05-08 18:00:00",271,12.29,28.19,7.666301,10302.58,9958.021,28.56
"2022-05-08 19:00:00",272,12.28,27.19,7.6471,10526.46,10151.71,28.43
"2022-05-08 20:00:00",273,12.29,25.66,7.6471,10577.96,10204.13,28.32
"2022-05-08 21:00:00",274,12.28,24.55,7.6471,10578.19,10198.6,28.22
"2022-05-08 22:00:00",275,12.28,23.81,7.666301,10542.23,10164.47,28.16
"2022-05-08 23:00:00",276,12.27,23.25,7.666301,10487.97,10118.69,28.14
"2022-05-09 00:00:00",277,12.26,22.71,7.666301,10509.42,10136.16,28.14
"2022-05-09 01:00:00",278,12.27,22.18,7.666301,10421.46,10059.92,28.12
"2022-05-09 02:00:00",279,12.25,21.63,7.666301,10329.9,9980.852,28.11
"2022-05-09 03:00:00",280,12.26,20.9,7.666301,10160.35,9832.863,28.07
"2022-05-09 04:00:00",281,12.25,20.17,7.666301,10053.41,9740.733,28.04
"2022-05-09 05:00:00",282,12.25,19.51,7.6855,9938.762,9642.188,28.01
"2022-05-09 06:00:00",283,12.24,18.95,7.6855,9876.915,9585.748,27.99
"2022-05-09 07:00:00",284,12.24,18.78,7.666301,9769.323,9492.393,27.99
"2022-05-09 08:00:00",285,12.23,19.58,7.6855,9596.687,9339.249,28.02
"2022-05-09 09:00:00",286,12.24,21.03,7.7047,9204.519,8989.229,28.15
"2022-05-09 10:00:00",287,12.23,22.51,7.723901,8782.681,8609.768,28.61
"2023-01-30 15:00:00",288,12.64,29.35,8.3191,8549.686,8398.438,28.82
"2023-01-30 16:00:00",289,12.64,29.11,8.3575,8905.266,8721.767,28.64
"2023-01-30 17:00:00",290,12.64,28.1,8.3575,9416.158,9179.188,28.41
"2023-01-30 18:00:00",291,12.63,26.72,8.2615,10081.29,9766.47,28.25
"2023-01-30 19:00:00",292,12.64,25.15,8.242301,10578.84,10199.65,28.14
"2023-01-30 20:00:00",293,12.62,23.85,8.242301,10579.34,10334.6,28.08
"2023-01-30 21:00:00",294,12.62,22.69,8.242301,10579.5,10251.39,28.03
"2023-01-30 22:00:00",295,12.61,21.72,8.242301,10571.67,10189.97,28
"2023-01-30 23:00:00",296,12.61,20.9,8.242301,10488.79,10117.76,27.98
"2023-01-31 00:00:00",297,12.6,20.19,8.242301,10417.66,10057.25,27.95
"2023-01-31 01:00:00",298,12.6,19.72,8.242301,10438.97,10075.32,27.97
"2023-01-31 02:00:00",299,12.59,19.44,8.242301,10462.05,10096.03,27.99
"2023-01-31 03:00:00",300,12.59,19.31,8.242301,10494.92,10123.72,28.02
"2023-01-31 04:00:00",301,12.58,19.27,8.242301,10580.55,10223.89,28.04
"2023-01-31 05:00:00",302,12.59,19.25,8.242301,10579.69,10224.58,28.04
"2023-01-31 06:00:00",303,12.58,19.22,8.242301,10580.63,10274.02,28.05
"2023-01-31 07:00:00",304,12.58,19.18,8.223101,10579.87,10246.88,28.04
"2023-01-31 08:00:00",305,12.57,19.13,8.242301,10580.12,10212.4,28.05
"2023-01-31 09:00:00",306,12.58,19.46,8.242301,10179.14,9850.605,28.11
"2023-01-31 10:00:00",307,12.57,20.59,8.280701,9441.316,9206.991,28.28
"2023-01-31 11:00:00",308,12.58,24.03,8.3191,8728.016,8558.2,28.55
"2023-01-31 12:00:00",309,12.58,29.11,8.338301,8353.604,8218.134,28.78
"2023-01-31 13:00:00",310,12.59,28.21,8.338301,8086.856,7972.619,28.93
"2023-01-31 14:00:00",311,12.59,28.6,8.3575,7993.584,7883.08,28.92
"2023-01-31 15:00:00",312,12.59,28.8,8.338301,8405.557,8266.071,28.69
"2023-01-31 16:00:00",313,12.59,28.87,8.3575,8707.619,8541.493,28.62
"2023-01-31 17:00:00",314,12.59,27.16,8.299901,9521.672,9273.819,28.36
"2023-01-31 18:00:00",315,12.58,25.94,8.2615,10188.88,9859.226,28.25
"2023-01-31 19:00:00",316,12.59,24.64,8.242301,10577.94,10283.54,28.16
"2023-01-31 20:00:00",317,12.58,23.39,8.242301,10579.99,10340.13,28.07
"2023-01-31 21:00:00",318,12.58,22.25,8.242301,10579.68,10294.18,28.01
"2023-01-31 22:00:00",319,12.57,21.18,8.242301,10576.04,10194.15,27.97
"2023-01-31 23:00:00",320,12.57,20.19,8.242301,10492.04,10122.13,27.93
"2023-02-01 00:00:00",321,12.55,19.46,8.242301,10399.81,10041.81,27.91
"2023-02-01 01:00:00",322,12.56,18.78,8.242301,10336.23,9985.499,27.89
"2023-02-01 02:00:00",323,12.54,18.48,8.242301,10326.71,9977.884,27.92
"2023-02-01 03:00:00",324,12.55,18.23,8.242301,10377.9,10021.02,27.93
"2023-02-01 04:00:00",325,12.54,17.79,8.242301,10332.42,9983.591,27.9
"2023-02-01 05:00:00",326,12.54,17.42,8.242301,10301.42,9956.842,27.9
"2023-02-01 06:00:00",327,12.53,17.21,8.2615,10268.28,9927.239,27.91
"2023-02-01 07:00:00",328,12.53,16.94,8.242301,10330.81,9981.955,27.9
"2023-02-01 08:00:00",329,12.52,16.52,8.242301,10169.38,9838.363,27.86
"2023-02-01 09:00:00",330,12.53,16.88,8.2615,9605.456,9347.55,27.97
"2023-02-01 10:00:00",331,12.52,17.9,8.280701,9145.842,8937.165,28.12
"2023-02-01 11:00:00",332,12.63,19.74,"NAN",-450.5909,1201.401,-16.19
"2023-02-01 12:00:00",333,12.57,21.25,8.3575,7872.458,7775.1,28.39
"2023-02-01 13:00:00",334,12.57,22.15,8.3767,7898.36,7798.785,28.39
"2023-02-01 14:00:00",335,12.57,22.87,8.3575,7751.358,7663.696,28.46
"2023-02-01 15:00:00",336,12.57,24.8,8.3767,7843.791,7747.773,28.57
"2023-02-01 16:00:00",337,12.57,24.95,8.3767,8381.887,8245.007,28.47
"2023-02-01 17:00:00",338,12.57,24.69,8.338301,9221.819,9005.785,28.31
"2023-02-01 18:00:00",339,12.57,23.76,8.3191,9805.727,9524.036,28.18
"2023-02-01 19:00:00",340,12.56,22.37,8.299901,10301.36,9956.505,28.06
"2023-02-01 20:00:00",341,12.56,21.15,8.299901,10344.96,9994.479,28
"2023-02-01 21:00:00",342,12.55,20.12,8.299901,10137.16,9814.786,27.94
"2023-02-01 22:00:00",343,12.55,19.26,8.299901,10036.66,9726.161,27.9
"2023-02-01 23:00:00",344,12.54,18.5,8.299901,9961.23,9659.722,27.87
"2023-02-02 00:00:00",345,12.54,17.89,8.299901,9920.505,9624.289,27.85
"2023-02-02 01:00:00",346,12.53,17.43,8.299901,9946.716,9645.684,27.86
"2023-02-02 02:00:00",347,12.53,17.01,8.299901,9927.762,9631.586,27.85
"2023-02-02 03:00:00",348,12.52,16.84,8.299901,9903.021,9597.243,27.87
"2023-02-02 04:00:00",349,12.52,16.58,8.299901,9916.854,9620.935,27.85
"2023-02-02 05:00:00",350,12.51,16.26,8.299901,9888.668,9597.368,27.84
"2023-02-02 06:00:00",351,12.52,16.06,8.3191,9906.25,9611.813,27.86
"2023-02-02 07:00:00",352,12.5,15.85,8.299901,9905.32,9611.371,27.86
"2023-02-02 08:00:00",353,12.51,15.85,8.299901,9857.382,9569.186,27.87
"2023-02-02 09:00:00",354,12.5,16.32,8.299901,9242.738,9024.044,27.97
"2023-02-02 10:00:00",355,12.5,17.28,8.338301,8480.095,8335.012,28.11
"2023-02-02 11:00:00",356,12.5,19.27,8.3575,7935.73,7833.281,28.31
"2023-02-02 12:00:00",357,12.51,24.46,8.395901,7587.887,7508.957,28.68
"2023-02-02 13:00:00",358,12.51,25.05,8.395901,7512.758,7440.012,28.99
"2023-02-02 14:00:00",359,12.52,25.72,8.395901,7663.339,7579.526,28.98
"2023-02-02 15:00:00",360,12.52,27.2,8.3767,7961.558,7856.632,28.85
"2023-02-02 16:00:00",361,12.53,26.55,8.3767,8448.198,8315.741,28.56
"2023-02-02 17:00:00",362,12.52,25.86,8.3575,9082.844,8877.376,28.33
"2023-02-02 18:00:00",363,12.53,24.43,8.3191,9749.251,9473.808,28.15
"2023-02-02 19:00:00",364,12.51,23.32,8.299901,10246.05,9908.634,28.09
"2023-02-02 20:00:00",365,12.52,22.13,8.299901,10364.39,10012.79,28.02
"2023-02-02 21:00:00",366,12.51,21.27,8.299901,10295.05,9951.663,28
"2023-02-02 22:00:00",367,12.51,20.94,8.299901,10333.19,9969.979,28.03
"2023-02-02 23:00:00",368,12.5,20.76,8.299901,10334.03,9985.493,28.05
"2023-02-03 00:00:00",369,12.5,20.75,8.299901,10363.55,10010.87,28.06
"2023-02-03 01:00:00",370,12.49,20.89,8.3191,10335.58,9985.137,28.08
"2023-02-03 02:00:00",371,12.5,21.03,8.3191,10390.04,10033.42,28.1
"2023-02-03 03:00:00",372,12.49,21.14,8.299901,10450.05,10070.61,28.11
"2023-02-03 04:00:00",373,12.5,21.1,8.299901,10421.47,10061.04,28.11
"2023-02-03 05:00:00",374,12.48,20.99,8.299901,10422.71,10067.86,28.08
"2023-02-03 06:00:00",375,12.49,21.04,8.3191,10432.18,10069.46,28.09
"2023-02-03 07:00:00",376,12.48,20.86,8.3191,9874.215,9598.1,28.02
"2023-02-03 08:00:00",377,12.48,18.4,8.338301,10188.69,9859.256,27.88
"2023-02-03 09:00:00",378,12.47,16.14,8.3191,9919.353,9623.145,27.74
"2023-02-03 10:00:00",379,12.47,14.71,8.338301,9547.729,9295.749,27.7
"2023-02-03 11:00:00",380,12.45,13.92,8.3575,9238.544,9021.159,27.64
"2023-02-03 12:00:00",381,12.46,13.24,8.3191,8965.952,8777.185,27.67
"2023-02-03 13:00:00",382,12.44,13.33,8.3575,8125.301,7998.031,27.84
"2023-02-03 14:00:00",383,12.45,13.28,8.3767,7959.072,7854.589,27.85
"2023-02-03 15:00:00",384,12.43,15.32,8.395901,7307.116,7246.179,28.06
"2023-02-03 16:00:00",385,12.45,15.44,8.4343,7367.346,7301.849,27.96
"2023-02-03 17:00:00",386,12.45,15.14,8.395901,7984.099,7885.339,27.8
"2023-02-03 18:00:00",387,12.44,14.31,8.3767,8592.792,8437.377,27.65
"2023-02-03 19:00:00",388,12.44,13.05,8.3575,9064.125,8864.351,27.59
"2023-02-03 20:00:00",389,12.43,11.94,8.338301,9189.537,8976.587,27.52
"2023-02-03 21:00:00",390,12.43,10.98,8.3575,9035.27,8838.334,27.46
"2023-02-03 22:00:00",391,12.42,9.98,8.338301,8947.888,8759.842,27.4
"2023-02-03 23:00:00",392,12.42,9.05,8.3575,8821.948,8646.261,27.35
"2023-02-04 00:00:00",393,12.41,8.29,8.3575,8718.668,8552.443,27.32
"2023-02-04 01:00:00",394,12.4,7.866,8.3575,8701.805,8537.327,27.31
"2023-02-04 02:00:00",395,12.4,7.541,8.3575,8641.44,8481.354,27.29
"2023-02-04 03:00:00",396,12.38,7.117,8.3767,8594.516,8440.859,27.27
"2023-02-04 04:00:00",397,12.39,6.659,8.3767,8591.114,8435.936,27.26
"2023-02-04 05:00:00",398,12.37,6.271,8.3575,8605.031,8449.863,27.24
"2023-02-04 06:00:00",399,12.38,6.036,8.3767,8573.149,8420.447,27.24
"2023-02-04 07:00:00",400,12.37,5.753,8.3767,8545.106,8395.124,27.22
"2023-02-04 08:00:00",401,12.38,5.572,8.3767,8435.51,8294.765,27.23
"2023-02-04 09:00:00",402,12.36,6.852,8.3767,8133.281,8016.599,27.35
"2023-02-04 10:00:00",403,12.38,12,8.395901,7711.237,7626.891,27.6
"2023-02-04 11:00:00",404,12.4,16.88,8.4151,7224.408,7169.207,27.96
"2023-02-04 12:00:00",405,12.4,18.9,8.4343,6900.467,6859.957,28.3
"2023-02-04 13:00:00",406,12.41,19.09,8.4343,6772.067,6737.343,28.57
"2023-02-04 14:00:00",407,12.41,19.27,8.4343,7070.988,7023.018,28.45
"2023-02-04 15:00:00",408,12.42,19.97,8.4151,7442.263,7376.815,28.35
"2023-02-04 16:00:00",409,12.42,19.69,8.4151,7746.544,7656.892,28.19
"2023-02-04 17:00:00",410,12.43,18.88,8.395901,8500.142,8354.044,27.99
"2023-02-04 18:00:00",411,12.42,17.63,8.3575,9208.208,8993.099,27.79
"2023-02-04 19:00:00",412,12.42,16.39,8.3575,9439.331,9200.33,27.69
"2023-02-04 20:00:00",413,12.41,15.35,8.338301,9516.769,9268.068,27.62
"2023-02-04 21:00:00",414,12.41,14.42,8.3575,9426.242,9187.697,27.58
"2023-02-04 22:00:00",415,12.4,13.55,8.3575,9326.665,9099.724,27.54
"2023-02-04 23:00:00",416,12.4,12.81,8.3575,9228.73,9013.146,27.52
"2023-02-05 00:00:00",417,12.39,12.26,8.3575,9192.989,8979.646,27.53
"2023-02-05 01:00:00",418,12.39,12.07,8.338301,9217.781,9002.234,27.57
"2023-02-05 02:00:00",419,12.38,12.14,8.3575,9313.832,9075.702,27.6
"2023-02-05 03:00:00",420,12.39,12.22,8.338301,9303.564,9078.016,27.6
"2023-02-05 04:00:00",421,12.38,12.34,8.338301,9409.555,9172.487,27.65
"2023-02-05 05:00:00",422,12.38,12.42,8.338301,9411.363,9175.489,27.67
"2023-02-05 06:00:00",423,12.38,12.53,8.338301,9449.72,9212.003,27.67
"2023-02-05 07:00:00",424,12.38,12.65,8.338301,9479.341,9235.505,27.69
"2023-02-05 08:00:00",425,12.37,12.9,8.338301,9487.423,9242.468,27.72
"2023-02-05 09:00:00",426,12.38,13.44,8.3575,9075.724,8874.368,27.8
"2023-02-05 10:00:00",427,12.37,14.27,8.3575,8518.711,8369.518,27.88
"2023-02-05 11:00:00",428,12.38,15.65,8.3767,7769.681,7679.379,28.06
"2023-02-05 12:00:00",429,12.38,20.25,8.4151,7187.924,7132.353,28.5
"2023-02-05 13:00:00",430,12.39,21.63,8.4343,7177.314,7122.858,28.84
"2023-02-05 14:00:00",431,12.39,22.41,8.4343,7307.214,7245.146,28.82
"2023-02-05 15:00:00",432,12.4,22.86,8.4151,7575.247,7497.952,28.56
"2023-02-05 16:00:00",433,12.39,22.33,8.4151,8107.835,7992.331,28.28
"2023-02-05 17:00:00",434,12.4,22.46,8.3767,8345.373,8211.886,28.16
"2023-02-05 18:00:00",435,12.39,21.08,8.3767,9233.967,9017.361,28.01
"2023-02-05 19:00:00",436,12.4,19.38,8.338301,9746.166,9471.403,27.89
"2023-02-05 20:00:00",437,12.39,17.91,8.3191,9877.235,9585.703,27.79
"2023-02-05 21:00:00",438,12.39,16.73,8.338301,9802.904,9520.416,27.74
"2023-02-05 22:00:00",439,12.37,15.64,8.338301,9673.792,9407.512,27.69
"2023-02-05 23:00:00",440,12.38,14.71,8.338301,9600.296,9342.811,27.65
"2023-02-06 00:00:00",441,12.36,13.89,8.3191,9480.067,9235.821,27.62
"2023-02-06 01:00:00",442,12.36,13.21,8.338301,9459.633,9218.22,27.59
"2023-02-06 02:00:00",443,12.35,12.52,8.3191,9422.336,9186.789,27.56
"2023-02-06 03:00:00",444,12.35,11.87,8.338301,9364.698,9132.036,27.54
"2023-02-06 04:00:00",445,12.34,11.42,8.3575,9352.859,9122.082,27.55
"2023-02-06 05:00:00",446,12.35,11.53,8.3575,9431.308,9193.329,27.61
"2023-02-06 06:00:00",447,12.34,11.37,8.3575,9413.54,9176.716,27.58
"2023-02-06 07:00:00",448,12.34,10.98,8.338301,9360.445,9129.98,27.54
"2023-02-06 08:00:00",449,12.33,10.64,8.3575,9195.817,8981.76,27.51
"2023-02-06 09:00:00",450,12.33,11.37,8.3575,8757.098,8587.044,27.62
"2023-02-06 10:00:00",451,12.33,17.06,8.3767,8205.63,8093.97,27.87
"2023-02-06 11:00:00",452,12.35,22.54,8.4151,7612.77,7532.473,28.2
"2023-02-06 12:00:00",453,12.35,23.98,8.4343,7231.435,7173.131,28.5
"2023-02-06 13:00:00",454,12.36,23.26,8.4343,7060.87,7012.791,28.76
"2023-02-06 14:00:00",455,12.36,22.73,8.453501,7188.246,7132.65,28.72
"2023-02-06 15:00:00",456,12.37,23.64,8.4343,7458.994,7386.935,28.59
"2023-02-06 16:00:00",457,12.36,23.54,8.4151,7984.998,7878.408,28.32
"2023-02-06 17:00:00",458,12.37,22.88,8.395901,8563.29,8410.608,28.08
"2023-02-06 18:00:00",459,12.36,21.3,8.3575,9241.216,9023.606,27.94
"2023-02-06 19:00:00",460,12.36,19.23,8.338301,9709.412,9438.989,27.78
"2023-02-06 20:00:00",461,12.35,17.28,8.338301,9736.277,9462.174,27.66
"2023-02-06 21:00:00",462,12.35,15.56,8.3575,9551.65,9299.892,27.59
"2023-02-06 22:00:00",463,12.34,14.45,8.3575,9470.109,9227.437,27.57
"2023-02-06 23:00:00",464,12.34,13.74,8.3575,9396.597,9161.089,27.56
"2023-02-07 00:00:00",465,12.32,12.91,8.3575,9359.104,9127.896,27.53
"2023-02-07 01:00:00",466,12.33,12,8.3575,9256.144,9036.866,27.47
"2023-02-07 02:00:00",467,12.31,11.18,8.3575,9152.201,8943.341,27.44
"2023-02-07 03:00:00",468,12.31,10.5,8.3767,9102.515,8905.324,27.43
"2023-02-07 04:00:00",469,12.3,10.04,8.3767,9090.321,8886.734,27.43
"2023-02-07 05:00:00",470,12.3,9.71,8.3767,9106.919,8902.094,27.41
"2023-02-07 06:00:00",471,12.29,9.44,8.3767,9048.587,8850.102,27.43
"2023-02-07 07:00:00",472,12.3,9.18,8.3767,9004.097,8810.509,27.4
"2023-02-07 08:00:00",473,12.29,8.95,8.3767,8946.087,8759.455,27.42
"2023-02-07 09:00:00",474,12.29,10.15,8.3767,8590.121,8434.577,27.56
"2023-02-07 10:00:00",475,12.29,16.94,8.395901,8194.359,8071.428,27.9
"2023-02-07 11:00:00",476,12.31,23.71,8.395901,7779.497,7688.063,28.32
"2023-02-07 12:00:00",477,12.32,25.54,8.4343,7428.581,7359.891,28.62
"2023-02-07 13:00:00",478,12.33,25.09,8.4343,7242.727,7183.934,28.88
"2023-02-07 14:00:00",479,12.33,24.8,8.453501,7305.813,7244.307,28.86
"2023-02-07 15:00:00",480,12.34,25.34,8.4151,7623.28,7542.167,28.67
"2023-02-07 16:00:00",481,12.33,25.35,8.4343,8026.643,7916.405,28.43
"2023-02-07 17:00:00",482,12.34,24.76,8.395901,8660.828,8500.415,28.21
"2023-02-07 18:00:00",483,12.33,23.13,8.3575,9387.336,9153.677,28.07
"2023-02-07 19:00:00",484,12.33,21.11,8.338301,9801.271,9520.138,27.89
"2023-02-07 20:00:00",485,12.32,19.35,8.338301,9889.199,9596.923,27.79
"2023-02-07 21:00:00",486,12.32,18.02,8.338301,9834.495,9548.365,27.74
"2023-02-07 22:00:00",487,12.31,17.17,8.338301,9781.247,9501.883,27.73
"2023-02-07 23:00:00",488,12.31,16.61,8.338301,9727.113,9453.883,27.74
"2023-02-08 00:00:00",489,12.3,16.37,8.3575,9844.426,9556.937,27.75
"2023-02-08 01:00:00",490,12.3,15.69,8.338301,9731.606,9458.063,27.71
"2023-02-08 02:00:00",491,12.29,15.06,8.3575,9693.185,9423.926,27.7
"2023-02-08 03:00:00",492,12.29,14.42,8.3575,9592.485,9335.603,27.64
"2023-02-08 04:00:00",493,12.28,13.76,8.3575,9513.11,9265.929,27.62
"2023-02-08 05:00:00",494,12.29,13.2,8.3575,9453.026,9211.774,27.6
"2023-02-08 06:00:00",495,12.28,12.81,8.3575,9434.641,9194.4,27.6
"2023-02-08 07:00:00",496,12.28,12.51,8.3575,9425.725,9187.818,27.57
"2023-02-08 08:00:00",497,12.27,12.22,8.3575,9282.174,9059.244,27.58
"2023-02-08 09:00:00",498,12.27,13.17,8.3767,8908.299,8723.526,27.69
"2023-02-08 10:00:00",499,12.27,19.86,8.3767,8455.419,8312.201,28.04
"2023-02-08 11:00:00",500,12.29,26.53,8.395901,7972.919,7867.641,28.43
"2023-02-08 12:00:00",501,12.29,27.96,8.4151,7577.72,7498.621,28.75
"2023-02-08 13:00:00",502,12.3,27.45,8.4343,7305.865,7243.337,29
"2023-02-08 14:00:00",503,12.3,27.01,8.4343,7303.585,7241.745,29
"2023-02-08 15:00:00",504,12.31,27.12,8.4343,7627.628,7546.486,28.76
"2023-02-08 16:00:00",505,12.3,26.92,8.4151,8142.237,8023.975,28.49
"2023-02-08 17:00:00",506,12.31,26.36,8.395901,8723.7,8556.201,28.28
"2023-02-08 18:00:00",507,12.3,24.94,8.3575,9415.159,9178.244,28.13
