Date,PT,ID,BP avg (mb),PSI,depth
2023-05-25T05:00:00Z,14.6614,LF,1005,14.576292641882606,0.7454239008118229
2023-05-25T06:00:00Z,14.6643,LF,1006,14.590796415655623,0.7391625085235112
2023-05-25T07:00:00Z,14.6952,LF,1006,14.590796415655623,0.7558361377663304
2023-05-25T08:00:00Z,14.7427,LF,1006,14.590796415655623,0.7814671212302118
2023-05-25T09:00:00Z,14.7483,LF,1007,14.605300189428641,0.7766626480019518
2023-05-25T10:00:00Z,14.7421,LF,1006,14.590796415655623,0.7811433614390898
2023-05-25T11:00:00Z,14.725,LF,1006,14.590796415655623,0.7719162073920919
2023-05-25T12:00:00Z,14.7047,LF,1006,14.590796415655623,0.7609623344591073
2023-05-25T13:00:00Z,14.6838,LF,1006,14.590796415655623,0.7496847017349988
2023-05-25T14:00:00Z,14.6604,LF,1005,14.576292641882606,0.744884301159951
2023-05-25T15:00:00Z,14.6635,LF,1004,14.561788868109588,0.7543832913594919
2023-05-25T16:00:00Z,14.7112,LF,1004,14.561788868109588,0.7801221947537472
2023-05-25T17:00:00Z,14.7851,LF,1005,14.576292641882606,0.812172377748289
2023-05-25T18:00:00Z,14.8714,LF,1005,14.576292641882606,0.8587398277047728
2023-05-25T19:00:00Z,14.9559,LF,1005,14.576292641882606,0.9043359982878886
2023-05-25T20:00:00Z,14.9953,LF,1006,14.590796415655623,0.9177699932928756
2023-05-25T21:00:00Z,15.0078,LF,1006,14.590796415655623,0.924514988941265
2023-05-25T22:00:00Z,14.9918,LF,1007,14.605300189428641,0.9080551632325866
2023-05-25T23:00:00Z,14.9502,LF,1007,14.605300189428641,0.8856078177147456
2023-05-26T00:00:00Z,14.9022,LF,1007,14.605300189428641,0.8597070344249284
2023-05-26T01:00:00Z,14.8433,LF,1006,14.590796415655623,0.8357508462084537
2023-05-26T02:00:00Z,14.7783,LF,1006,14.590796415655623,0.8006768688368265
2023-05-26T03:00:00Z,14.7152,LF,1006,14.590796415655623,0.766628130803754
2023-05-26T04:00:00Z,14.6793,LF,1006,14.590796415655623,0.7472565033015783
2023-05-26T05:00:00Z,14.673,LF,1006,14.590796415655623,0.7438570254947902
2023-05-26T06:00:00Z,14.6787,LF,1006,14.590796415655623,0.7469327435104555
2023-05-26T07:00:00Z,14.6891,LF,1007,14.605300189428641,0.7447183486111769
2023-05-26T08:00:00Z,14.7377,LF,1008,14.619803963201658,0.7631166604133788
2023-05-26T09:00:00Z,14.788,LF,1008,14.619803963201658,0.7902585229024996
2023-05-26T10:00:00Z,14.8131,LF,1008,14.619803963201658,0.8038024741644667
2023-05-26T11:00:00Z,14.8027,LF,1009,14.634307736974677,0.7903644065062666
2023-05-26T12:00:00Z,14.7838,LF,1009,14.634307736974677,0.780165973085901
2023-05-26T13:00:00Z,14.7561,LF,1009,14.634307736974677,0.7652190627290693
2023-05-26T14:00:00Z,14.7319,LF,1009,14.634307736974677,0.7521607511537861
2023-05-26T15:00:00Z,14.7151,LF,1009,14.634307736974677,0.7430954770023501
2023-05-26T16:00:00Z,14.6962,LF,1009,14.634307736974677,0.7328970435819844
2023-05-26T17:00:00Z,14.6986,LF,1008,14.619803963201658,0.7420183140252153
2023-05-26T18:00:00Z,14.7147,LF,1009,14.634307736974677,0.7428796371416022
2023-05-26T19:00:00Z,14.7535,LF,1009,14.634307736974677,0.7638161036342045
2023-05-26T20:00:00Z,14.7936,LF,1010,14.648811510747693,0.7776278183955004
2023-05-26T21:00:00Z,14.8253,LF,1010,14.648811510747693,0.7947331273598176
2023-05-26T22:00:00Z,14.8289,LF,1010,14.648811510747693,0.7966756861065541
2023-05-26T23:00:00Z,14.8014,LF,1010,14.648811510747693,0.7818366956800955
2023-05-27T00:00:00Z,14.7712,LF,1010,14.648811510747693,0.7655407861935861
2023-05-27T01:00:00Z,14.7371,LF,1010,14.648811510747693,0.7471404380647781
2023-05-27T02:00:00Z,14.711,LF,1009,14.634307736974677,0.7408831184296786
2023-05-27T03:00:00Z,14.707,LF,1009,14.634307736974677,0.7387247198221941
2023-05-27T04:00:00Z,14.7093,LF,1009,14.634307736974677,0.7399657990214978
2023-05-27T05:00:00Z,14.7167,LF,1009,14.634307736974677,0.743958836445344
2023-05-27T06:00:00Z,14.7221,LF,1009,14.634307736974677,0.7468726745654483
2023-05-27T07:00:00Z,14.7312,LF,1010,14.648811510747693,0.7439568001187379
2023-05-27T08:00:00Z,14.7341,LF,1011,14.663315284520712,0.7376954078304252
2023-05-27T09:00:00Z,14.7382,LF,1011,14.663315284520712,0.7399077664030977
2023-05-27T10:00:00Z,14.7376,LF,1011,14.663315284520712,0.7395840066119748
2023-05-27T11:00:00Z,14.7268,LF,1011,14.663315284520712,0.733756330371766
2023-05-27T12:00:00Z,14.7199,LF,1010,14.648811510747693,0.7378593240525941
2023-05-27T13:00:00Z,14.7128,LF,1010,14.648811510747693,0.734028166524308
2023-05-27T14:00:00Z,14.7041,LF,1009,14.634307736974677,0.7371598808317674
2023-05-27T15:00:00Z,14.6978,LF,1009,14.634307736974677,0.7337604030249791
2023-05-27T16:00:00Z,14.6903,LF,1008,14.619803963201658,0.7375396369146844
2023-05-27T17:00:00Z,14.6967,LF,1008,14.619803963201658,0.7409930746866596
2023-05-27T18:00:00Z,14.702,LF,1009,14.634307736974677,0.7360267215628377
2023-05-27T19:00:00Z,14.7525,LF,1009,14.634307736974677,0.7632765039823326
2023-05-27T20:00:00Z,14.8289,LF,1010,14.648811510747693,0.7966756861065541
2023-05-27T21:00:00Z,14.8993,LF,1010,14.648811510747693,0.8346635015982857
2023-05-27T22:00:00Z,14.9371,LF,1011,14.663315284520712,0.847234137160277
2023-05-27T23:00:00Z,14.9421,LF,1011,14.663315284520712,0.8499321354196333
2023-05-28T00:00:00Z,14.9241,LF,1011,14.663315284520712,0.8402193416859515
2023-05-28T01:00:00Z,14.8845,LF,1011,14.663315284520712,0.8188511954718523
2023-05-28T02:00:00Z,14.8342,LF,1011,14.663315284520712,0.7917093329827313
2023-05-28T03:00:00Z,14.7834,LF,1010,14.648811510747693,0.7721239019464146
2023-05-28T04:00:00Z,14.7451,LF,1010,14.648811510747693,0.7514572352797482
2023-05-28T05:00:00Z,14.7305,LF,1011,14.663315284520712,0.7357528490836887
2023-05-28T06:00:00Z,14.7456,LF,1011,14.663315284520712,0.7439008038269438
2023-05-28T07:00:00Z,14.7537,LF,1012,14.677819058293728,0.7404453297283625
2023-05-28T08:00:00Z,14.7561,LF,1012,14.677819058293728,0.7417403688928532
2023-05-28T09:00:00Z,14.7564,LF,1012,14.677819058293728,0.7419022487884142
2023-05-28T10:00:00Z,14.8055,LF,1012,14.677819058293728,0.7683965916952903
2023-05-28T11:00:00Z,14.8629,LF,1012,14.677819058293728,0.7993696117126965
2023-05-28T12:00:00Z,14.8891,LF,1012,14.677819058293728,0.8135071225917213
2023-05-28T13:00:00Z,14.8743,LF,1011,14.663315284520712,0.8133472790227665
2023-05-28T14:00:00Z,14.8485,LF,1010,14.648811510747693,0.8072518392832289
2023-05-28T15:00:00Z,14.8275,LF,1010,14.648811510747693,0.7959202465939343
2023-05-28T16:00:00Z,14.8027,LF,1009,14.634307736974677,0.7903644065062666
2023-05-28T17:00:00Z,14.7683,LF,1009,14.634307736974677,0.7718021784818978
2023-05-28T18:00:00Z,14.749,LF,1009,14.634307736974677,0.761387905200784
2023-05-28T19:00:00Z,14.7367,LF,1009,14.634307736974677,0.7547508294827685
2023-05-28T20:00:00Z,14.7411,LF,1009,14.634307736974677,0.757125067951001
2023-05-28T21:00:00Z,14.7744,LF,1010,14.648811510747693,0.7672675050795736
2023-05-28T22:00:00Z,14.8165,LF,1010,14.648811510747693,0.7899846504233506
2023-05-28T23:00:00Z,14.8435,LF,1011,14.663315284520712,0.7967276097451341
2023-05-29T00:00:00Z,14.8487,LF,1011,14.663315284520712,0.7995335279348635
2023-05-29T01:00:00Z,14.8432,LF,1010,14.648811510747693,0.8043919611283115
2023-05-29T02:00:00Z,14.8195,LF,1010,14.648811510747693,0.7916034493789643
2023-05-29T03:00:00Z,14.7892,LF,1010,14.648811510747693,0.775253579927267
2023-05-29T04:00:00Z,14.7598,LF,1009,14.634307736974677,0.7672155814409928
2023-05-29T05:00:00Z,14.7337,LF,1009,14.634307736974677,0.7531320305271549
2023-05-29T06:00:00Z,14.718,LF,1010,14.648811510747693,0.7368340847140384
2023-05-29T07:00:00Z,14.7216,LF,1010,14.648811510747693,0.738776643460775
2023-05-29T08:00:00Z,14.7254,LF,1010,14.648811510747693,0.7408271221378855
2023-05-29T09:00:00Z,14.7292,LF,1010,14.648811510747693,0.7428776008149961
2023-05-29T10:00:00Z,14.8034,LF,1011,14.663315284520712,0.7750896637050989
2023-05-29T11:00:00Z,14.8717,LF,1011,14.663315284520712,0.8119443199279017
2023-05-29T12:00:00Z,14.9235,LF,1010,14.648811510747693,0.8477218131735689
2023-05-29T13:00:00Z,14.9483,LF,1009,14.634307736974677,0.8689301158187122
2023-05-29T14:00:00Z,14.9579,LF,1009,14.634307736974677,0.874110272476676
2023-05-29T15:00:00Z,14.9366,LF,1008,14.619803963201658,0.8704430311705589
2023-05-29T16:00:00Z,14.9141,LF,1008,14.619803963201658,0.8583020390034566
2023-05-29T17:00:00Z,14.8812,LF,1008,14.619803963201658,0.8405492104568946
2023-05-29T18:00:00Z,14.8435,LF,1008,14.619803963201658,0.820206303581351
2023-05-29T19:00:00Z,14.8075,LF,1008,14.619803963201658,0.8007807161139874
2023-05-29T20:00:00Z,14.7828,LF,1008,14.619803963201658,0.7874526047127693
2023-05-29T21:00:00Z,14.7889,LF,1009,14.634307736974677,0.7829179313104443
2023-05-29T22:00:00Z,14.8182,LF,1009,14.634307736974677,0.7987282011102698
2023-05-29T23:00:00Z,14.8736,LF,1009,14.634307736974677,0.8286220218239342
2023-05-30T00:00:00Z,14.9131,LF,1008,14.619803963201658,0.8577624393515857
2023-05-30T01:00:00Z,14.9335,LF,1008,14.619803963201658,0.8687702722497583
2023-05-30T02:00:00Z,14.9347,LF,1008,14.619803963201658,0.8694177918320032
2023-05-30T03:00:00Z,14.9215,LF,1008,14.619803963201658,0.8622950764273037
2023-05-30T04:00:00Z,14.8939,LF,1008,14.619803963201658,0.847402126035659
2023-05-30T05:00:00Z,14.8646,LF,1008,14.619803963201658,0.8315918562358325
2023-05-30T06:00:00Z,14.8289,LF,1008,14.619803963201658,0.8123281486640318
2023-05-30T07:00:00Z,14.7933,LF,1008,14.619803963201658,0.793118401057417
2023-05-30T08:00:00Z,14.7719,LF,1009,14.634307736974677,0.7737447372286343
2023-05-30T09:00:00Z,14.763,LF,1009,14.634307736974677,0.7689423003269804
2023-05-30T10:00:00Z,14.8097,LF,1009,14.634307736974677,0.7941416040693648
2023-05-30T11:00:00Z,14.8685,LF,1009,14.634307736974677,0.8258700635993907
2023-05-30T12:00:00Z,14.9073,LF,1009,14.634307736974677,0.8468065300919931
2023-05-30T13:00:00Z,14.955,LF,1008,14.619803963201658,0.8803716647649887
2023-05-30T14:00:00Z,14.9686,LF,1008,14.619803963201658,0.8877102200304371
2023-05-30T15:00:00Z,14.9754,LF,1008,14.619803963201658,0.8913794976631613
2023-05-30T16:00:00Z,14.9609,LF,1008,14.619803963201658,0.883555302711029
2023-05-30T17:00:00Z,14.9216,LF,1008,14.619803963201658,0.8623490363924907
2023-05-30T18:00:00Z,14.8804,LF,1008,14.619803963201658,0.8401175307353976
2023-05-30T19:00:00Z,14.8395,LF,1008,14.619803963201658,0.8180479049738656
2023-05-30T20:00:00Z,14.7923,LF,1008,14.619803963201658,0.7925788014055453
2023-05-30T21:00:00Z,14.7612,LF,1008,14.619803963201658,0.7757972522323519
2023-05-30T22:00:00Z,14.7661,LF,1009,14.634307736974677,0.7706150592477811
2023-05-30T23:00:00Z,14.8266,LF,1009,14.634307736974677,0.8032608381859878
2023-05-31T00:00:00Z,14.8888,LF,1009,14.634307736974677,0.8368239365323764
2023-05-31T01:00:00Z,14.9463,LF,1009,14.634307736974677,0.8678509165149704
2023-05-31T02:00:00Z,14.9812,LF,1008,14.619803963201658,0.8945091756440136
2023-05-31T03:00:00Z,14.984,LF,1008,14.619803963201658,0.8960200546692533
2023-05-31T04:00:00Z,14.9804,LF,1008,14.619803963201658,0.8940774959225167
2023-05-31T05:00:00Z,14.956,LF,1009,14.634307736974677,0.8730850331381204
2023-05-31T06:00:00Z,14.9331,LF,1009,14.634307736974677,0.86072820111027
2023-05-31T07:00:00Z,14.8883,LF,1010,14.648811510747693,0.8287279054277021
2023-05-31T08:00:00Z,14.8517,LF,1010,14.648811510747693,0.8089785581692165
2023-05-31T09:00:00Z,14.8332,LF,1010,14.648811510747693,0.7989959646095997
2023-05-31T10:00:00Z,14.858,LF,1010,14.648811510747693,0.8123780359760057
2023-05-31T11:00:00Z,14.9137,LF,1010,14.648811510747693,0.842433736585231
2023-05-31T12:00:00Z,14.9705,LF,1010,14.648811510747693,0.8730829968115142
