recess.intercept,recess.slope,ID,flood,r2.recess,flood.start,flood.end,duration,rise.intercept,rise.slope,r2.rise,peak.Date,minimum,base,variable
1.0194916220876928,0.0036211985147734335,OS,1,0.5207569668109902,2022-09-02,2022-09-27,25,0.31801242236024485,-0.00767955694863757,0.8642251928337683,2022-09-14T06:00:00Z,0.4,4.5,DO
0.051726190476190655,1.9278299555116143e-4,OS,2,0.1281857443865783,2023-02-22,2023-03-09,15,-0.30776315789473657,-0.025603448275862074,0.7436581749354181,2023-02-24T11:00:00Z,0,4.5,DO
-0.11067686754020505,0.013080594199196539,OS,3,0.8663293043197036,2023-06-26,2023-07-24,28,0.6217448003917385,-0.0038154891211162013,0.35165775119142134,2023-07-16T16:00:00Z,0.2,4.5,DO
1.8708942818387495,7.380043369415831e-4,OS,4,0.07641173435643953,2023-11-25,2024-01-22,58,0.6718943125839698,-0.009227487031246095,0.5226561439159338,2024-01-08T00:00:00Z,0.11,4.5,DO
1.7515587023682526,-6.495898691293017e-4,OS,5,0.1314432560669497,2024-03-18,2024-06-26,100,-2.1177122806692615e-15,-0.00640296433534043,0.3096393104748782,2024-03-28T14:00:00Z,0,4.5,DO
NA,NA,GB,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-22T00:00:00Z,3.09,2.8622983919902913,DO
NA,NA,IU,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-27T04:00:00Z,3.3,2.8622983919902913,DO
NA,NA,LF,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-02T14:00:00Z,0.06,2.8622983919902913,DO
NA,NA,OS,NA,NA,NA,NA,NA,NA,NA,NA,2023-10-09T18:00:00Z,0,4.5,DO
NA,NA,AM,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-18T07:00:00Z,1.22,2.8622983919902913,DO
NA,NA,ID,NA,NA,NA,NA,NA,NA,NA,NA,2024-03-16T08:00:00Z,3.5,2.8622983919902913,DO
