Date,LowRangeSpC,Full RangeSpC,Temp
2022-12-14 12:00,491.1,438,73.94
2022-12-14 13:00,496,444.1,74.89
2022-12-14 14:00,500.6,450.5,75.83
2022-12-14 15:00,504.2,454.8,76.48
2022-12-14 16:00,504.1,454.8,76.41
2022-12-14 17:00,502.7,453.1,75.97
2022-12-14 18:00,500.2,449.5,75.42
2022-12-14 19:00,497.7,446.3,74.93
2022-12-14 20:00,495.4,443.8,74.55
2022-12-14 21:00,493.8,441.3,74.26
2022-12-14 22:00,492.3,439.5,74.07
2022-12-14 23:00,491.2,438.1,73.87
2022-12-15 00:00,490,436.3,73.63
2022-12-15 01:00,489.1,435.2,73.47
2022-12-15 02:00,488.3,434.5,73.29
2022-12-15 03:00,487.9,433.8,73.15
2022-12-15 04:00,488,433.8,73.15
2022-12-15 05:00,486.9,432.6,73.26
2022-12-15 06:00,486.2,432.6,73.36
2022-12-15 07:00,485.2,432.2,73.47
2022-12-15 08:00,483.7,430.4,73.36
2022-12-15 09:00,346.1,306.5,71.4
2022-12-15 10:00,340.1,300.9,71.42
2022-12-15 11:00,335.9,296.5,71.4
2022-12-15 12:00,338.6,299.4,71.55
2022-12-15 13:00,340.1,301.2,71.73
2022-12-15 14:00,353.2,313.7,72.37
2022-12-15 15:00,398.6,355.6,73.22
2022-12-15 16:00,448.2,399.8,73.89
2022-12-15 17:00,467.8,418.4,73.94
2022-12-15 18:00,474,422.9,73.71
2022-12-15 19:00,477.7,424.8,73.27
2022-12-15 20:00,477.7,423.9,72.55
2022-12-15 21:00,474.5,418.9,71.62
2022-12-15 22:00,476.5,419.4,71.24
2022-12-15 23:00,475.8,416.9,70.65
2022-12-16 00:00,475.8,416.7,70.29
2022-12-16 01:00,474.2,413.8,69.8
2022-12-16 02:00,471.1,410.6,69.31
2022-12-16 03:00,468.3,407.3,68.94
2022-12-16 04:00,464.6,403.4,68.31
2022-12-16 05:00,462.2,400.2,67.75
2022-12-16 06:00,462.3,399.1,67.57
2022-12-16 07:00,463.9,401.3,67.71
2022-12-16 08:00,463.8,401.6,67.91
2022-12-16 09:00,463.7,401.6,67.98
2022-12-16 10:00,467.1,405.9,68.58
2022-12-16 11:00,473.1,413.1,69.57
2022-12-16 12:00,480.7,422.1,70.77
2022-12-16 13:00,488.8,432.9,72.16
2022-12-16 14:00,496.4,441.9,73.4
2022-12-16 15:00,500.2,445.9,73.81
2022-12-16 16:00,499.8,445.2,73.58
2022-12-16 17:00,496,440.9,72.81
2022-12-16 18:00,678.9,705,65.19
2022-12-16 19:00,8.4,5,59.52
2022-12-16 20:00,6.7,3.5,58.69
2022-12-16 21:00,335.3,295.5,66.56
2022-12-16 22:00,476.4,416,69.8
2022-12-16 23:00,473.8,413.5,69.62
2022-12-17 00:00,472.5,412.1,69.28
2022-12-17 01:00,468.6,408,69.03
2022-12-17 02:00,466.9,406.2,68.83
2022-12-17 03:00,465.6,404.4,68.61
2022-12-17 04:00,464.5,403,68.4
2022-12-17 05:00,464.7,403,68.34
2022-12-17 06:00,383.6,332.9,66.45
2022-12-17 07:00,9.1,5.4,52.9
2022-12-17 08:00,6.6,2.8,49.84
2022-12-17 09:00,5.5,2.1,54.1
2022-12-17 10:00,2.8,0.6,60.69
2022-12-17 11:00,2,-1.2,69.04
2022-12-17 12:00,1.8,-0.1,66.79
2022-12-17 13:00,1.8,-0.1,70.14
2022-12-17 14:00,1.8,-1.2,72
2022-12-17 15:00,2,-1.2,68.52
2022-12-17 16:00,2,-1.2,66.34
2022-12-17 17:00,3.3,-0.1,64.98
2022-12-17 18:00,2,3.5,63.23
2022-12-17 19:00,3.3,-1.2,62.56
2022-12-17 20:00,9.1,6.1,61.21
2022-12-17 21:00,2,1.3,62.56
2022-12-17 22:00,480.4,423.8,71.55
2022-12-17 23:00,478.1,420.5,71.19
2022-12-18 00:00,475.7,417.3,70.84
2022-12-18 01:00,473.4,414.7,70.59
2022-12-18 02:00,471.4,411.8,70.36
2022-12-18 03:00,469.6,410.4,70.14
2022-12-18 04:00,467.9,408.6,69.93
2022-12-18 05:00,467.9,408.2,69.91
2022-12-18 06:00,468,408.2,69.85
2022-12-18 07:00,467.3,407.5,69.55
2022-12-18 08:00,15.1,11.2,58.93
2022-12-18 09:00,2.3,0.3,51.91
2022-12-18 10:00,3.3,-0.1,58.26
2022-12-18 11:00,2,3.5,64.8
2022-12-18 12:00,2,3.5,60.28
2022-12-18 13:00,2,-1.2,63.41
2022-12-18 14:00,2,3.5,68.13
2022-12-18 15:00,2,-1.2,75.27
2022-12-18 16:00,1.8,-1.2,63.45
2022-12-18 17:00,2,-0.1,60.64
2022-12-18 18:00,1.8,-0.1,56.86
2022-12-18 19:00,3.3,-0.1,52.09
2022-12-18 20:00,3.2,-0.1,49.03
2022-12-18 21:00,9.2,-1.2,47.3
2022-12-18 22:00,6,-1.2,46.83
2022-12-18 23:00,1.3,22.6,46.31
2022-12-19 00:00,1.2,1.7,47.86
2022-12-19 01:00,1.4,1,47.57
2022-12-19 02:00,2.3,0.3,47.05
2022-12-19 03:00,2.9,0.3,46.44
2022-12-19 04:00,3.1,0.3,45.82
2022-12-19 05:00,3.4,1,44.15
2022-12-19 06:00,3,0.3,42.49
2022-12-19 07:00,1.8,-0.8,41.7
2022-12-19 08:00,27.3,-0.9,75.07
2022-12-19 09:00,3.3,-0.1,77.65
2022-12-19 10:00,1.8,-0.1,55.06
2022-12-19 11:00,3.3,-0.1,64.98
2022-12-19 12:00,2,6.1,63.09
2022-12-19 13:00,2,14.4,68.52
2022-12-19 14:00,2,4.2,74.86
2022-12-19 15:00,1.9,6,81.14
2022-12-19 16:00,2,-0.1,70
2022-12-19 17:00,2,-1.2,67.42
2022-12-19 18:00,2,3.5,63.01
2022-12-19 19:00,2,-0.1,59.88
2022-12-19 20:00,3.2,-1.2,60.03
2022-12-19 21:00,3.3,6.1,59.59
2022-12-19 22:00,2,-1.2,59.52
2022-12-19 23:00,2,3.5,59.54
2022-12-20 00:00,465.1,418,69.33
2022-12-20 01:00,470.8,421,70.57
2022-12-20 02:00,469.5,419.2,70.39
2022-12-20 03:00,469.1,418.9,70.38
2022-12-20 04:00,468.3,417.8,70.3
2022-12-20 05:00,467.6,416.7,70.21
2022-12-20 06:00,466.8,415.6,70.14
2022-12-20 07:00,196.9,180.4,68.65
2022-12-20 08:00,9.9,6.8,58.48
2022-12-20 09:00,1.8,-0.8,59.38
2022-12-20 10:00,3.3,-0.1,61.02
2022-12-20 11:00,2,3.5,63.46
2022-12-20 12:00,3.6,-0.1,64.98
2022-12-20 13:00,1.3,22.4,64.98
2022-12-20 14:00,485.5,435.7,72.97
2022-12-20 15:00,485.9,435.6,73.13
2022-12-20 16:00,485.3,435.3,73.11
2022-12-20 17:00,484.7,434.5,73.08
2022-12-20 18:00,483.4,432.7,72.9
2022-12-20 19:00,481.3,429.8,72.54
2022-12-20 20:00,479.2,427.7,72.16
2022-12-20 21:00,476.7,424.5,71.65
2022-12-20 22:00,474.7,422.7,71.47
2022-12-20 23:00,471.8,419.8,71.24
2022-12-21 00:00,465,412.5,70.75
2022-12-21 01:00,462.7,409.5,70.54
2022-12-21 02:00,461.8,408.1,70.38
2022-12-21 03:00,462.4,408.5,70.38
2022-12-21 04:00,462.5,408.1,70.18
2022-12-21 05:00,461.9,407.5,69.8
2022-12-21 06:00,460,404.3,69.28
2022-12-21 07:00,459.4,403.2,69.04
2022-12-21 08:00,460.6,403.9,69.06
2022-12-21 09:00,464.1,407.2,69.42
2022-12-21 10:00,467.6,410.1,69.73
2022-12-21 11:00,470.4,412.3,69.93
2022-12-21 12:00,477.1,422.1,71.02
2022-12-21 13:00,480.7,426,71.44
2022-12-21 14:00,483.8,429.6,71.92
2022-12-21 15:00,485.6,431.4,72.3
2022-12-21 16:00,485.5,431.1,72.18
2022-12-21 17:00,484.1,429.7,71.76
2022-12-21 18:00,482,427.8,71.78
2022-12-21 19:00,480.5,425.6,71.55
2022-12-21 20:00,479.5,424.2,71.37
2022-12-21 21:00,479.4,423.9,71.26
2022-12-21 22:00,479.3,423.5,71.24
2022-12-21 23:00,479.3,423.8,71.28
2022-12-22 00:00,479.3,422.8,71.06
2022-12-22 01:00,477.3,420.9,71.13
2022-12-22 02:00,475.8,419.8,71.04
2022-12-22 03:00,474.1,417.3,70.81
2022-12-22 04:00,473.9,416.9,70.83
2022-12-22 05:00,472.4,415.1,70.65
2022-12-22 06:00,469.3,411.1,70.16
2022-12-22 07:00,466.2,407.5,69.66
2022-12-22 08:00,461.9,402.5,69.04
2022-12-22 09:00,462.1,402.5,69.1
2022-12-22 10:00,463.6,404.3,69.28
2022-12-22 11:00,467.3,408.2,69.78
2022-12-22 12:00,473,414.3,70.66
2022-12-22 13:00,477.2,419.8,71.13
2022-12-22 14:00,482.8,425.9,71.85
2022-12-22 15:00,485.6,430.2,72.45
2022-12-22 16:00,485.5,430.2,72.52
2022-12-22 17:00,484.5,429.1,72.48
2022-12-22 18:00,482.7,426.9,72.25
2022-12-22 19:00,480.5,424.4,71.96
2022-12-22 20:00,478.8,422.2,71.76
2022-12-22 21:00,477.8,420.4,71.55
2022-12-22 22:00,478.3,421.2,71.55
2022-12-22 23:00,479.4,422.3,71.64
2022-12-23 00:00,480.9,423.7,71.87
2022-12-23 01:00,481.5,424.8,72.09
2022-12-23 02:00,481.7,425.5,72.18
2022-12-23 03:00,322.9,280,66.74
2022-12-23 04:00,319.8,275.9,66.6
2022-12-23 05:00,319.4,275.6,66.58
2022-12-23 06:00,320.4,276.3,66.56
2022-12-23 07:00,320.3,275.6,66.31
2022-12-23 08:00,365,314.9,67.55
2022-12-23 09:00,430.4,374.5,69.4
2022-12-23 10:00,446.5,389.7,69.53
2022-12-23 11:00,445.9,386.9,68.76
2022-12-23 12:00,431.6,371.4,66.79
2022-12-23 13:00,445.5,382.1,66.9
2022-12-23 14:00,453.5,391.5,68.05
2022-12-23 15:00,460.2,399.5,68.88
2022-12-23 16:00,467.9,406.8,69.58
2022-12-23 17:00,468,406.8,69.39
2022-12-23 18:00,464.3,401.8,68.58
2022-12-23 19:00,460,396.8,67.68
2022-12-23 20:00,456.2,391.4,66.9
2022-12-23 21:00,453,387.1,66.22
2022-12-23 22:00,449.1,381.7,65.39
2022-12-23 23:00,449.9,380.6,65.52
2022-12-24 00:00,447.4,377.4,64.98
2022-12-24 01:00,445.5,375.1,64.98
2022-12-24 02:00,444.2,373.1,64.18
2022-12-24 03:00,445,374.1,64.58
2022-12-24 04:00,444.8,375.2,64.74
2022-12-24 05:00,444.5,374.4,64.74
2022-12-24 06:00,444.3,374.1,64.65
2022-12-24 07:00,444.6,373.3,64.72
2022-12-24 08:00,444.3,374,65.17
2022-12-24 09:00,445.5,376.9,65.46
2022-12-24 10:00,446.8,379.1,65.55
2022-12-24 11:00,451.7,385.3,66.24
2022-12-24 12:00,460.1,396.1,67.6
2022-12-24 13:00,468.5,405.9,68.81
2022-12-24 14:00,474.3,413.1,69.69
2022-12-24 15:00,475.1,413.5,69.53
2022-12-24 16:00,470.3,407.1,68.29
2022-12-24 17:00,464.6,399.5,67.23
2022-12-24 18:00,460.2,393.7,66.81
2022-12-24 19:00,457.9,392.5,67.1
2022-12-24 20:00,455.3,389.6,66.87
2022-12-24 21:00,452.9,386.3,66.51
2022-12-24 22:00,450.8,383.1,66.16
2022-12-24 23:00,448.9,380.9,65.86
2022-12-25 00:00,447.4,378.7,65.55
2022-12-25 01:00,445.7,376.6,65.32
2022-12-25 02:00,445.4,375.8,65.37
2022-12-25 03:00,445.3,376.1,65.53
2022-12-25 04:00,445.7,377.9,65.93
2022-12-25 05:00,443.4,374.3,65.57
2022-12-25 06:00,441.5,372.1,65.41
2022-12-25 07:00,440.2,371,65.26
2022-12-25 08:00,440.6,371.3,65.44
2022-12-25 09:00,440.6,371.7,65.41
2022-12-25 10:00,443.8,375.7,65.89
2022-12-25 11:00,450.5,384.7,66.94
2022-12-25 12:00,459.4,395.6,68.23
2022-12-25 13:00,468.4,406.4,69.55
2022-12-25 14:00,475.8,415.1,70.59
2022-12-25 15:00,477.6,417.3,70.75
2022-12-25 16:00,474.5,413.4,70.07
2022-12-25 17:00,471.2,408.7,69.28
2022-12-25 18:00,466.3,403.3,68.86
2022-12-25 19:00,463.1,399.2,68.5
2022-12-25 20:00,459.9,396.4,68.09
2022-12-25 21:00,456.7,392,67.6
2022-12-25 22:00,454.8,389.1,67.33
2022-12-25 23:00,452.7,387,66.97
2022-12-26 00:00,451.2,384.4,66.76
2022-12-26 01:00,449.9,382.6,66.56
2022-12-26 02:00,448.7,381.2,66.31
2022-12-26 03:00,448.6,380.8,66.38
2022-12-26 04:00,448.2,380.7,66.52
2022-12-26 05:00,445.3,377.1,66.06
2022-12-26 06:00,443.4,374.9,65.93
2022-12-26 07:00,441.6,372.4,65.75
2022-12-26 08:00,438.8,369.5,65.37
2022-12-26 09:00,441.1,371.6,65.84
2022-12-26 10:00,442.4,374.5,66.13
2022-12-26 11:00,447.9,381.7,67.08
2022-12-26 12:00,457.7,394.4,68.61
2022-12-26 13:00,466.4,405.2,69.93
2022-12-26 14:00,474.3,414.2,71.06
2022-12-26 15:00,477.1,417.5,71.37
2022-12-26 16:00,476.4,416.1,71.1
2022-12-26 17:00,473.5,412.5,70.52
2022-12-26 18:00,469.4,407.8,69.84
2022-12-26 19:00,465.1,402.8,69.26
2022-12-26 20:00,461.1,398.1,68.68
2022-12-26 21:00,458,394.1,68.23
2022-12-26 22:00,455.3,390.8,67.86
2022-12-26 23:00,454,389,67.62
2022-12-27 00:00,452.8,386.9,67.42
2022-12-27 01:00,451.2,385.1,67.17
2022-12-27 02:00,450.2,383.6,66.94
2022-12-27 03:00,449.4,382.2,66.79
2022-12-27 04:00,449.7,382.5,66.96
2022-12-27 05:00,448,380.3,66.79
2022-12-27 06:00,444,375.6,66.2
2022-12-27 07:00,443.8,375.6,66.29
2022-12-27 08:00,441.8,372.7,65.97
2022-12-27 09:00,442.3,373.4,66.11
2022-12-27 10:00,445.7,377.7,66.74
2022-12-27 11:00,451.6,386.4,67.78
2022-12-27 12:00,460.3,398,69.26
2022-12-27 13:00,469.2,408.7,70.83
2022-12-27 14:00,477.7,418.4,72.16
2022-12-27 15:00,482.6,425.3,72.73
2022-12-27 16:00,483,425.4,72.54
2022-12-27 17:00,480.7,421.8,71.94
2022-12-27 18:00,476.9,416.8,71.19
2022-12-27 19:00,472.1,411.1,70.38
2022-12-27 20:00,467.7,406,69.78
2022-12-27 21:00,463.7,400.9,69.21
2022-12-27 22:00,459.8,396.6,68.68
2022-12-27 23:00,456.7,392.6,68.23
2022-12-28 00:00,454.7,389.7,67.93
2022-12-28 01:00,453,387.6,67.64
2022-12-28 02:00,451.2,385,67.35
2022-12-28 03:00,450,383.2,67.08
2022-12-28 04:00,449.8,382.5,67.03
2022-12-28 05:00,449.3,382.1,66.94
2022-12-28 06:00,450.3,383.6,67.19
2022-12-28 07:00,448.9,381,67.01
2022-12-28 08:00,445.7,377.4,66.52
2022-12-28 09:00,446.4,378.1,66.74
2022-12-28 10:00,448.9,381.7,67.19
2022-12-28 11:00,456.1,391.4,68.5
2022-12-28 12:00,465.7,404.1,70.11
2022-12-28 13:00,475.9,416.3,71.89
2022-12-28 14:00,485.6,429.2,73.51
2022-12-28 15:00,491,436.1,74.34
2022-12-28 16:00,491.7,436.8,74.25
2022-12-28 17:00,489.3,433.7,73.6
2022-12-28 18:00,485.2,428.3,72.73
2022-12-28 19:00,480.3,421.1,71.82
2022-12-28 20:00,475.5,415,71.1
2022-12-28 21:00,471.2,410.7,70.47
2022-12-28 22:00,467.7,406,69.98
2022-12-28 23:00,464.2,402.4,69.49
2022-12-29 00:00,463.2,400.9,69.4
2022-12-29 01:00,461.3,398.4,69.12
2022-12-29 02:00,460.6,397.6,69.03
2022-12-29 03:00,460.4,396.9,68.95
2022-12-29 04:00,460.1,396.9,68.83
2022-12-29 05:00,459.9,397.3,68.74
2022-12-29 06:00,461,396.9,68.79
2022-12-29 07:00,461.5,398,68.88
2022-12-29 08:00,462.1,398.8,69.03
2022-12-29 09:00,463,399.8,69.21
2022-12-29 10:00,466.4,404.5,69.87
2022-12-29 11:00,473.9,413.1,71.17
2022-12-29 12:00,481.9,422.8,72.55
2022-12-29 13:00,490.1,433.9,73.94
2022-12-29 14:00,494.8,439.7,74.7
2022-12-29 15:00,497.1,442.2,74.89
2022-12-29 16:00,497.9,442.3,74.84
2022-12-29 17:00,497.1,441.2,74.46
2022-12-29 18:00,493.6,437.3,73.78
2022-12-29 19:00,490.3,433.8,73.22
2022-12-29 20:00,486.5,428.3,72.73
2022-12-29 21:00,483,424.7,72.3
2022-12-29 22:00,480.4,421.4,71.96
2022-12-29 23:00,478,418.2,71.65
2022-12-30 00:00,476.1,416,71.37
2022-12-30 01:00,474.4,413.8,71.19
2022-12-30 02:00,472.8,412.4,70.97
2022-12-30 03:00,470.9,409.9,70.7
2022-12-30 04:00,469.9,409.2,70.54
2022-12-30 05:00,469,407.7,70.39
2022-12-30 06:00,468.4,406.6,70.21
2022-12-30 07:00,468,406.3,70.07
2022-12-30 08:00,468.3,406.3,70.05
2022-12-30 09:00,469.9,407.7,70.36
2022-12-30 10:00,473.2,412,70.95
2022-12-30 11:00,480.3,420.6,72.21
2022-12-30 12:00,487.9,430.7,73.58
2022-12-30 13:00,495.8,440.7,74.98
2022-12-30 14:00,500.4,446.1,75.83
2022-12-30 15:00,501.9,448.2,76.1
2022-12-30 16:00,501.9,448.6,76.03
2022-12-30 17:00,500.5,446.1,75.58
2022-12-30 18:00,496.9,441.5,74.77
2022-12-30 19:00,493.5,437.3,74.03
2022-12-30 20:00,490.4,433.7,73.47
2022-12-30 21:00,487.7,430.1,73.06
2022-12-30 22:00,486,427.9,72.88
2022-12-30 23:00,484.6,425.7,72.7
2022-12-31 00:00,483.4,424.3,72.48
2022-12-31 01:00,482.4,422.8,72.36
2022-12-31 02:00,482.2,422.8,72.37
2022-12-31 03:00,482.6,423.2,72.45
2022-12-31 04:00,483,423.2,72.54
2022-12-31 05:00,483.6,424.6,72.66
2022-12-31 06:00,484.6,425.7,72.82
2022-12-31 07:00,485.5,426.8,72.97
2022-12-31 08:00,487.3,429.3,73.2
2022-12-31 09:00,489.8,432.6,73.58
2022-12-31 10:00,492.1,435.1,73.92
2022-12-31 11:00,493.9,437.2,74.23
2022-12-31 12:00,494.1,437.6,74.34
2022-12-31 13:00,493.7,437.5,74.41
2022-12-31 14:00,495,439.3,74.7
2022-12-31 15:00,495.7,440,74.86
2022-12-31 16:00,496.4,441.1,75.04
2022-12-31 17:00,497.2,441.4,75.18
2022-12-31 18:00,496.4,441.1,74.98
2022-12-31 19:00,494.4,438.6,74.61
2022-12-31 20:00,491.8,435.4,74.1
2022-12-31 21:00,489.3,432.5,73.65
2022-12-31 22:00,487,429.3,73.22
2022-12-31 23:00,485.2,426.4,72.9
2023-01-01 00:00,484.2,425,72.7
2023-01-01 01:00,482.9,423.2,72.48
2023-01-01 02:00,482.1,422.5,72.37
2023-01-01 03:00,482.8,422.8,72.48
2023-01-01 04:00,483.1,423.2,72.55
2023-01-01 05:00,483.5,423.5,72.63
2023-01-01 06:00,483.9,424.6,72.7
2023-01-01 07:00,484.6,425,72.81
2023-01-01 08:00,485.9,426.4,72.91
2023-01-01 09:00,488.5,429.7,73.22
2023-01-01 10:00,492.5,434.7,73.78
2023-01-01 11:00,497.4,440.1,74.52
2023-01-01 12:00,502.3,446.2,75.31
2023-01-01 13:00,507.3,453,76.24
2023-01-01 14:00,510.2,456.9,76.98
2023-01-01 15:00,513.6,461.2,77.49
2023-01-01 16:00,512.8,460.5,77.38
2023-01-01 17:00,510.1,457.3,76.91
2023-01-01 18:00,506.6,452.7,76.24
2023-01-01 19:00,502.4,446.6,75.43
2023-01-01 20:00,497.8,441.2,74.61
2023-01-01 21:00,494.5,436.9,74.03
2023-01-01 22:00,491.7,433.3,73.56
2023-01-01 23:00,489.7,430.4,73.27
2023-01-02 00:00,487.6,427.9,73
2023-01-02 01:00,485.5,425.3,72.7
2023-01-02 02:00,483.6,423.2,72.45
2023-01-02 03:00,481.7,420.6,72.21
2023-01-02 04:00,493.2,431.1,71.96
2023-01-02 05:00,479.3,417.8,71.82
2023-01-02 06:00,478.7,416.7,71.76
2023-01-02 07:00,477.6,415.2,71.58
2023-01-02 08:00,477.5,415.6,71.55
2023-01-02 09:00,478.3,416,71.62
2023-01-02 10:00,483.4,421.7,72.36
2023-01-02 11:00,491.1,431.1,73.49
2023-01-02 12:00,501.8,444.4,75.13
2023-01-02 13:00,511.1,455.9,76.64
2023-01-02 14:00,518.3,464.5,77.9
2023-01-02 15:00,520.6,467.3,78.39
2023-01-02 16:00,519.7,466.6,78.31
2023-01-02 17:00,516.4,463,77.74
2023-01-02 18:00,510.8,457,76.77
2023-01-02 19:00,505.4,450.2,75.81
2023-01-02 20:00,500.1,443.4,74.89
2023-01-02 21:00,495.6,438,74.1
2023-01-02 22:00,492.2,432.9,73.56
2023-01-02 23:00,489.8,429.3,73.18
2023-01-03 00:00,488,427.9,72.97
2023-01-03 01:00,488.8,429.4,72.84
2023-01-03 02:00,485.9,425,72.75
2023-01-03 03:00,484.7,423.5,72.55
2023-01-03 04:00,483.2,421.7,72.37
2023-01-03 05:00,482,420.3,72.23
2023-01-03 06:00,481.3,419.2,72.18
2023-01-03 07:00,480.2,418.1,72.01
2023-01-03 08:00,480.2,418.1,72.01
2023-01-03 09:00,481.5,419.2,72.21
2023-01-03 10:00,485.6,424.2,72.84
2023-01-03 11:00,494.4,435.4,74.19
2023-01-03 12:00,503.5,446.1,75.58
2023-01-03 13:00,510.7,456.2,76.84
2023-01-03 14:00,515.3,461.2,77.52
2023-01-03 15:00,516.8,463,77.9
2023-01-03 16:00,514.6,461.2,77.65
2023-01-03 17:00,512.3,458.7,77.27
2023-01-03 18:00,508.4,454,76.62
2023-01-03 19:00,504.6,449,75.97
2023-01-03 20:00,500.8,444,75.31
2023-01-03 21:00,497.1,439.3,74.71
2023-01-03 22:00,494.1,435.4,74.19
2023-01-03 23:00,492.2,433.2,73.89
2023-01-04 00:00,490.8,431,73.67
2023-01-04 01:00,489.7,429.6,73.51
2023-01-04 02:00,488.9,428.9,73.35
2023-01-04 03:00,488.1,427.4,73.26
2023-01-04 04:00,487.3,426.4,73.13
2023-01-04 05:00,487.4,426.4,73.13
2023-01-04 06:00,487.9,426.7,73.13
2023-01-04 07:00,487.4,425.3,72.73
2023-01-04 08:00,488.2,425.4,72.52
2023-01-04 09:00,492.3,429.4,72.75
2023-01-04 10:00,498.1,436.2,73.72
2023-01-04 11:00,502.9,443.4,74.82
