Date,LowRangeSpC,FullRangeSpC,Temp,,,,
2022-04-06 15:00,536.4,538.9,74.64,,,,
2022-04-06 16:00,536.9,539.3,74.68,,,,
2022-04-06 17:00,537.2,539.7,74.64,,,,
2022-04-06 18:00,536.5,538.9,74.61,,,,
2022-04-06 19:00,536,538.2,74.53,,,,
2022-04-06 20:00,535.6,537.8,74.44,,,,
2022-04-06 21:00,535.2,537.4,74.35,,,,
2022-04-06 22:00,534.5,536.6,74.28,,,,
2022-04-06 23:00,534.3,536.2,74.25,,,,
2022-04-07 00:00,534.2,536.3,74.19,,,,
2022-04-07 01:00,534,536.3,74.17,,,,
2022-04-07 02:00,534.3,536.7,74.14,,,,
2022-04-07 03:00,534.2,536.3,74.14,,,,
2022-04-07 04:00,534.2,536.3,74.14,,,,
2022-04-07 05:00,534.2,536.3,74.14,,,,
2022-04-07 06:00,533.9,536.3,74.12,,,,
2022-04-07 07:00,533.9,535.9,74.12,,,,
2022-04-07 08:00,533.5,535.9,74.12,,,,
2022-04-07 09:00,533.8,536.3,74.12,,,,
2022-04-07 10:00,534,536.3,74.17,,,,
2022-04-07 11:00,534.4,536.6,74.26,,,,
2022-04-07 12:00,535,537.4,74.37,,,,
2022-04-07 13:00,535.6,537.8,74.5,,,,
2022-04-07 14:00,536.3,538.5,74.62,,,,
2022-04-07 15:00,537.2,539.7,74.79,,,,
2022-04-07 16:00,537.6,539.7,74.86,,,,
2022-04-07 17:00,537.8,540.1,74.86,,,,
2022-04-07 18:00,536.7,538.5,74.7,,,,
2022-04-07 19:00,535.4,537.4,74.5,,,,
2022-04-07 20:00,534.1,536.6,74.25,,,,
2022-04-07 21:00,533.2,535.5,74.01,,,,
2022-04-07 22:00,531.7,534,73.78,,,,
2022-04-07 23:00,530.8,533.3,73.6,,,,
2022-04-08 00:00,529.7,532.5,73.45,,,,
2022-04-08 01:00,529.1,531.3,73.35,,,,
2022-04-08 02:00,528.3,530.6,73.27,,,,
2022-04-08 03:00,527.4,530.2,73.17,,,,
2022-04-08 04:00,526.7,529,73.08,,,,
2022-04-08 05:00,525.9,528.3,72.95,,,,
2022-04-08 06:00,525.2,527.5,72.84,,,,
2022-04-08 07:00,524.6,526.7,72.73,,,,
2022-04-08 08:00,524.1,526.3,72.7,,,,
2022-04-08 09:00,524.5,526.7,72.73,,,,
2022-04-08 10:00,525.7,527.9,72.95,,,,
2022-04-08 11:00,526.9,529,73.09,,,,
2022-04-08 12:00,528.4,530.5,73.33,,,,
2022-04-08 13:00,530.3,532.8,73.62,,,,
2022-04-08 14:00,532.1,534.8,73.92,,,,
2022-04-08 15:00,533.1,535.5,74.05,,,,
2022-04-08 16:00,533.4,535.9,74.08,,,,
2022-04-08 17:00,532.5,534.7,73.96,,,,
2022-04-08 18:00,531.4,533.6,73.78,,,,
2022-04-08 19:00,530.2,532.9,73.58,,,,
2022-04-08 20:00,528.9,531.3,73.33,,,,
2022-04-08 21:00,527.5,530.2,73.11,,,,
2022-04-08 22:00,526.6,529,73,,,,
2022-04-08 23:00,526.3,528.6,72.99,,,,
2022-04-09 00:00,526.1,528.3,72.93,,,,
2022-04-09 01:00,526,528.3,72.91,,,,
2022-04-09 02:00,525.4,527.5,72.82,,,,
2022-04-09 03:00,524.8,527.1,72.73,,,,
2022-04-09 04:00,524.4,526.3,72.66,,,,
2022-04-09 05:00,523.7,526,72.52,,,,
2022-04-09 06:00,523,524.8,72.41,,,,
2022-04-09 07:00,522.1,524.5,72.32,,,,
2022-04-09 08:00,522.1,524.5,72.32,,,,
2022-04-09 09:00,522.2,524.4,72.34,,,,
2022-04-09 10:00,523.7,525.9,72.68,,,,
2022-04-09 11:00,525,527.5,72.84,,,,
2022-04-09 12:00,526.7,529,73.08,,,,
2022-04-09 13:00,528.2,530.5,73.33,,,,
2022-04-09 14:00,529.3,531.7,73.54,,,,
2022-04-09 15:00,530.4,532.8,73.69,,,,
2022-04-09 16:00,531.1,533.2,73.76,,,,
2022-04-09 17:00,530.4,532.8,73.69,,,,
2022-04-09 18:00,529.6,532.1,73.51,,,,
2022-04-09 19:00,528.4,530.9,73.29,,,,
2022-04-09 20:00,526.9,529,73.04,,,,
2022-04-09 21:00,525.5,527.9,72.82,,,,
2022-04-09 22:00,524.2,526.4,72.64,,,,
2022-04-09 23:00,523,525.6,72.5,,,,
2022-04-10 00:00,522.3,524.4,72.39,,,,
2022-04-10 01:00,521.7,524.1,72.32,,,,
2022-04-10 02:00,521.2,523.7,72.19,,,,
2022-04-10 03:00,520.7,522.9,72.14,,,,
2022-04-10 04:00,520.2,522.1,72.03,,,,
2022-04-10 05:00,519.7,521.4,71.94,,,,
2022-04-10 06:00,519.1,521,71.89,,,,
2022-04-10 07:00,518.9,520.6,71.83,,,,
2022-04-10 08:00,519.3,521.4,71.98,,,,
2022-04-10 09:00,520.1,522.1,72.07,,,,
2022-04-10 10:00,522.3,524.8,72.48,,,,
2022-04-10 11:00,525,527.1,72.86,,,,
2022-04-10 12:00,527.6,529.8,73.27,,,,
2022-04-10 13:00,530,532.4,73.67,,,,
2022-04-10 14:00,531.8,534.3,73.99,,,,
2022-04-10 15:00,533.4,535.4,74.25,,,,
2022-04-10 16:00,534,536.6,74.35,,,,
2022-04-10 17:00,534,536.6,74.34,,,,
2022-04-10 18:00,533.1,535.5,74.17,,,,
2022-04-10 19:00,532,534.7,73.94,,,,
2022-04-10 20:00,530.5,532.8,73.67,,,,
2022-04-10 21:00,528.6,530.9,73.36,,,,
2022-04-10 22:00,527.2,529.4,73.17,,,,
2022-04-10 23:00,526,528.6,72.99,,,,
2022-04-11 00:00,525.1,527.1,72.9,,,,
2022-04-11 01:00,524.1,526.3,72.73,,,,
2022-04-11 02:00,523.1,525.6,72.61,,,,
2022-04-11 03:00,522.6,524.8,72.52,,,,
2022-04-11 04:00,522.2,524.4,72.45,,,,
2022-04-11 05:00,521.8,524,72.36,,,,
2022-04-11 06:00,521.5,523.7,72.32,,,,
2022-04-11 07:00,521.2,523.7,72.28,,,,
2022-04-11 08:00,522.4,524.4,72.52,,,,
2022-04-11 09:00,522.4,524.8,72.48,,,,
2022-04-11 10:00,525.8,528.2,73.15,,,,
2022-04-11 11:00,527.3,529.7,73.29,,,,
2022-04-11 12:00,529.5,531.7,73.6,,,,
2022-04-11 13:00,532,534.3,74.01,,,,
2022-04-11 14:00,534,536.6,74.34,,,,
2022-04-11 15:00,535.3,537.7,74.55,,,,
2022-04-11 16:00,536.1,538.1,74.64,,,,
2022-04-11 17:00,536.1,538.1,74.64,,,,
2022-04-11 18:00,535.5,538.2,74.52,,,,
2022-04-11 19:00,534.7,537,74.3,,,,
2022-04-11 20:00,533.6,535.9,74.1,,,,
2022-04-11 21:00,531.8,534.4,73.85,,,,
2022-04-11 22:00,530.6,532.8,73.63,,,,
2022-04-11 23:00,529.3,531.7,73.45,,,,
2022-04-12 00:00,528.1,530.5,73.35,,,,
2022-04-12 01:00,527.3,529.8,73.2,,,,
2022-04-12 02:00,526.9,529,73.15,,,,
2022-04-12 03:00,526.4,528.6,73.09,,,,
2022-04-12 04:00,525.9,528.2,73.04,,,,
2022-04-12 05:00,526,528.2,73.02,,,,
2022-04-12 06:00,525.9,528.2,73.02,,,,
2022-04-12 07:00,526.2,528.6,73.04,,,,
2022-04-12 08:00,527.6,530.1,73.36,,,,
2022-04-12 09:00,527.4,530.2,73.24,,,,
2022-04-12 10:00,529.9,532.4,73.74,,,,
2022-04-12 11:00,531.5,533.9,73.96,,,,
2022-04-12 12:00,532.7,535.1,74.08,,,,
2022-04-12 13:00,534.7,537.4,74.43,,,,
2022-04-12 14:00,536.4,538.9,74.68,,,,
2022-04-12 15:00,537.8,540.4,74.89,,,,
2022-04-12 16:00,538.3,540.8,74.97,,,,
2022-04-12 17:00,538.1,540.4,74.93,,,,
2022-04-12 18:00,537.2,539.7,74.77,,,,
2022-04-12 19:00,536.2,538.6,74.53,,,,
2022-04-12 20:00,534.8,537.4,74.3,,,,
2022-04-12 21:00,533.8,536.3,74.08,,,,
2022-04-12 22:00,532.7,535.2,73.92,,,,
2022-04-12 23:00,531.3,534,73.74,,,,
2022-04-13 00:00,530,532.9,73.54,,,,
2022-04-13 01:00,529.1,531.7,73.45,,,,
2022-04-13 02:00,528.7,531.3,73.42,,,,
2022-04-13 03:00,528.4,530.9,73.35,,,,
2022-04-13 04:00,527.9,530.6,73.27,,,,
2022-04-13 05:00,527.4,530.2,73.24,,,,
2022-04-13 06:00,527.2,529.8,73.2,,,,
2022-04-13 07:00,527,529.8,73.17,,,,
2022-04-13 08:00,528,530.5,73.38,,,,
2022-04-13 09:00,527.8,530.5,73.33,,,,
2022-04-13 10:00,530,532.4,73.76,,,,
2022-04-13 11:00,531.5,533.9,73.96,,,,
2022-04-13 12:00,532.5,535.1,74.03,,,,
2022-04-13 13:00,533.9,536.6,74.28,,,,
2022-04-13 14:00,535.3,537.8,74.5,,,,
2022-04-13 15:00,536.4,538.9,74.68,,,,
2022-04-13 16:00,537.3,539.7,74.79,,,,
2022-04-13 17:00,545.2,556.1,74.75,,,,
2022-04-13 18:00,536.3,538.5,74.62,,,,
2022-04-13 19:00,535.4,538.2,74.46,,,,
2022-04-13 20:00,534.7,537.4,74.28,,,,
2022-04-13 21:00,533.8,536.3,74.08,,,,
2022-04-13 22:00,533,535.5,73.94,,,,
2022-04-13 23:00,532.1,534.8,73.8,,,,
2022-04-14 00:00,531,533.6,73.69,,,,
2022-04-14 01:00,530.1,532.4,73.63,,,,
2022-04-14 02:00,530.2,532.9,73.58,,,,
2022-04-14 03:00,530.1,532.5,73.58,,,,
2022-04-14 04:00,530,532.5,73.6,,,,
2022-04-14 05:00,530,532.5,73.6,,,,
2022-04-14 06:00,530.1,532.5,73.6,,,,
2022-04-14 07:00,530.1,532.9,73.6,,,,
2022-04-14 08:00,530.4,532.8,73.67,,,,
2022-04-14 09:00,530.8,533.2,73.71,,,,
2022-04-14 10:00,531.7,534.4,73.85,,,,
2022-04-14 11:00,532.7,535.1,74.05,,,,
2022-04-14 12:00,533.7,536.7,74.19,,,,
2022-04-14 13:00,534.9,537.8,74.44,,,,
2022-04-14 14:00,535.8,538.5,74.59,,,,
2022-04-14 15:00,536.7,539.3,74.7,,,,
2022-04-14 16:00,536.5,539.3,74.71,,,,
2022-04-14 17:00,536.2,538.5,74.64,,,,
2022-04-14 18:00,535.9,538.6,74.53,,,,
2022-04-14 19:00,535,537.8,74.39,,,,
2022-04-14 20:00,534.8,537.4,74.28,,,,
2022-04-14 21:00,534.2,536.7,74.17,,,,
2022-04-14 22:00,533.9,536.7,74.05,,,,
2022-04-14 23:00,533.5,535.9,73.96,,,,
2022-04-15 00:00,532.3,535.2,73.89,,,,
2022-04-15 01:00,532,534.8,73.83,,,,
2022-04-15 02:00,531.5,534,73.76,,,,
2022-04-15 03:00,531.2,533.6,73.71,,,,
2022-04-15 04:00,708.2,729,73.71,,,,
2022-04-15 05:00,545.6,563.3,73.69,,,,
2022-04-15 06:00,551.3,568.9,73.67,,,,
2022-04-15 07:00,531.6,534,73.67,,,,
2022-04-15 08:00,532.2,534.8,73.87,,,,
2022-04-15 09:00,531.5,534,73.76,,,,
2022-04-15 10:00,534.2,536.7,74.21,,,,
2022-04-15 11:00,535.3,537.8,74.39,,,,
2022-04-15 12:00,535.3,537.8,74.39,,,,
2022-04-15 13:00,536.9,539.3,74.62,,,,
2022-04-15 14:00,537.4,539.7,74.75,,,,
2022-04-15 15:00,537.9,540.9,74.84,,,,
2022-04-15 16:00,537.6,540.1,74.84,,,,
2022-04-15 17:00,537.1,539.7,74.77,,,,
2022-04-15 18:00,536.2,538.5,74.62,,,,
2022-04-15 19:00,536,538.2,74.46,,,,
2022-04-15 20:00,535.2,537.8,74.34,,,,
2022-04-15 21:00,534.5,537.1,74.19,,,,
2022-04-15 22:00,533.8,535.9,74.08,,,,
2022-04-15 23:00,533.1,535.5,73.96,,,,
2022-04-16 00:00,532.3,534.8,73.87,,,,
2022-04-16 01:00,531.6,533.6,73.78,,,,
2022-04-16 02:00,531,533.2,73.71,,,,
2022-04-16 03:00,530.6,532.8,73.67,,,,
2022-04-16 04:00,530.3,532.8,73.62,,,,
2022-04-16 05:00,530.1,532.4,73.62,,,,
2022-04-16 06:00,530.2,532.4,73.62,,,,
2022-04-16 07:00,530.3,532,73.63,,,,
2022-04-16 08:00,531.3,533.6,73.87,,,,
2022-04-16 09:00,531.1,533.2,73.78,,,,
2022-04-16 10:00,532.5,535.1,74.05,,,,
2022-04-16 11:00,534.1,536.6,74.37,,,,
2022-04-16 12:00,534.6,537.4,74.39,,,,
2022-04-16 13:00,536.1,538.5,74.62,,,,
2022-04-16 14:00,536.9,538.9,74.77,,,,
2022-04-16 15:00,538,540.4,74.93,,,,
2022-04-16 16:00,538.2,540.4,74.97,,,,
2022-04-16 17:00,538.1,540.4,74.93,,,,
2022-04-16 18:00,537.4,539.7,74.8,,,,
2022-04-16 19:00,536.5,538.5,74.62,,,,
2022-04-16 20:00,535.6,538.2,74.5,,,,
2022-04-16 21:00,534.6,537,74.34,,,,
2022-04-16 22:00,534.2,536.3,74.21,,,,
2022-04-16 23:00,533.6,535.9,74.12,,,,
2022-04-17 00:00,533.6,535.9,74.05,,,,
2022-04-17 01:00,532.3,535.1,73.96,,,,
2022-04-17 02:00,532.2,534.4,73.89,,,,
2022-04-17 03:00,532.1,534.4,73.85,,,,
2022-04-17 04:00,531.6,534,73.85,,,,
2022-04-17 05:00,531.4,534,73.83,,,,
2022-04-17 06:00,531.2,533.6,73.8,,,,
2022-04-17 07:00,531.1,533.6,73.8,,,,
2022-04-17 08:00,531.3,534,73.87,,,,
2022-04-17 09:00,531.9,534.3,73.94,,,,
2022-04-17 10:00,533.7,536.2,74.34,,,,
2022-04-17 11:00,534.3,536.6,74.37,,,,
2022-04-17 12:00,535.1,537.4,74.53,,,,
2022-04-17 13:00,536.6,538.9,74.77,,,,
2022-04-17 14:00,537.2,539.2,74.88,,,,
2022-04-17 15:00,537.9,540,74.97,,,,
2022-04-17 16:00,537.9,540.4,74.95,,,,
2022-04-17 17:00,537.4,539.7,74.86,,,,
2022-04-17 18:00,536.7,538.9,74.75,,,,
2022-04-17 19:00,535.8,538.1,74.61,,,,
2022-04-17 20:00,535.2,537.4,74.46,,,,
2022-04-17 21:00,534.7,537,74.35,,,,
2022-04-17 22:00,534.5,536.6,74.28,,,,
2022-04-17 23:00,533.8,535.9,74.17,,,,
2022-04-18 00:00,533.5,535.1,74.08,,,,
2022-04-18 01:00,532.9,535.1,73.99,,,,
2022-04-18 02:00,532.4,534.8,73.92,,,,
2022-04-18 03:00,531.7,534,73.83,,,,
2022-04-18 04:00,531.1,533.2,73.78,,,,
2022-04-18 05:00,530.6,532.8,73.74,,,,
2022-04-18 06:00,530.6,532.8,73.71,,,,
2022-04-18 07:00,530.6,532.8,73.76,,,,
2022-04-18 08:00,530.7,532.8,73.78,,,,
2022-04-18 09:00,531,533.2,73.83,,,,
2022-04-18 10:00,531.6,534,73.92,,,,
2022-04-18 10:48,,,,,Logged,,
2022-04-18 10:48,,,,,,Logged,Logged
