Date,DO,depth,Temp,velocity_m.s,VentDO,VentTemp_F,velocity_m.s_abs,Q_m.s,Mouth_Temp_C,Mouth_DO_sat,mouth_deficit,Vent_Temp_C,Vent_DO_sat,vent_deficit,DO_deficit,velocity_m.h_abs,velocity_m.h,Q_m.h,U.H,deltaDO,deltaDO_rate,K600_1d,K600_avg,K_reaeration,not,season,hour,Month,day,year,set,time.x,time.y,ER,GPP,GPPavg
2023-01-31T21:00:00Z,4.26,0.8834830158063826,71.74,0.09377719635193832,1.93,74.42,0.09377719635193832,0.5907244945602385,22.08,8.730263573384951,4.470263573384951,23.57,8.486371406137442,6.556371406137442,5.513317489761197,337.59790686697795,337.59790686697795,2126.6081804168584,0.10614487734814566,2.33,52.121287451310806,11.211163982764383,11.267749197657917,54.60870935837237,-2.4874219070615666,winter,21,1,31,2023,winter,ER,ER,-10.404321782927447,7.91689987586588,47.78128526528
2023-01-31T22:00:00Z,4.25,0.8871502571125006,71.38,0.09362683945838748,1.93,74.42,0.09362683945838748,0.592225462597733,21.88,8.763955198005053,4.513955198005053,23.57,8.486371406137442,6.556371406137442,5.535163302071248,337.05662205019496,337.05662205019496,2132.011665351839,0.10553661987668742,2.3200000000000003,52.02945719091444,11.19620084896651,11.264909985522497,54.979185508823775,-2.949728317909333,winter,22,1,31,2023,winter,ER,ER,-10.404321782927447,7.454593465018114,47.78128526528
2023-01-31T23:00:00Z,4.16,0.9008021283048416,71.2,0.0930671127395015,1.93,74.42,0.0930671127395015,0.597743929536528,21.78,8.780888453410075,4.620888453410075,23.57,8.486371406137442,6.556371406137442,5.5886299297737585,335.04160586220536,335.04160586220536,2151.878146331501,0.10331582243776241,2.2300000000000004,50.477085550342714,11.141569231968955,11.2620701025233,56.08944195406244,-5.612356403719723,winter,23,1,31,2023,winter,ER,ER,-10.404321782927447,4.791965379207724,47.78128526528
2023-02-01T00:00:00Z,4.1,0.9118099612030142,71.17,0.09261579159067643,1.93,74.42,0.09261579159067643,0.6021142495333883,21.76,8.784282139966361,4.684282139966362,23.57,8.486371406137442,6.556371406137442,5.620326773051902,333.41684972643515,333.41684972643515,2167.611298320198,0.1015735685410609,2.17,49.47808398339583,11.098709786110097,11.259223884252426,56.87722437908662,-7.399140395690793,winter,0,2,1,2023,winter,ER,ER,-10.156423562851842,2.7572831671610487,45.97041413632523
2023-02-01T01:00:00Z,3.95,0.9248143128131092,71.17,0.09208261317466253,1.93,74.42,0.09208261317466253,0.6071859417973972,21.76,8.784282139966361,4.834282139966361,23.57,8.486371406137442,6.556371406137442,5.695326773051901,331.4974074287851,331.4974074287851,2185.8693904706297,0.09956875872148295,2.0200000000000005,46.44589237816276,11.049391464548481,11.25636927126883,58.19846763124587,-11.752575253083108,winter,1,2,1,2023,winter,ER,ER,-10.156423562851842,0,45.97041413632523
2023-02-01T02:00:00Z,3.81,0.9421914579299684,71.1,0.0913701502248713,1.93,74.42,0.0913701502248713,0.6138086881182767,21.72,8.791076568665051,4.981076568665051,23.57,8.486371406137442,6.556371406137442,5.768723987401247,328.9325408095367,328.9325408095367,2209.711277225796,0.0969762031441201,1.8800000000000001,43.69835765621841,10.985614597345354,11.253504335612881,59.709478953565274,-16.01112129734686,winter,2,2,1,2023,winter,ER,ER,-10.156423562851842,0,45.97041413632523
2023-02-01T03:00:00Z,3.74,0.94046473904398,71.06,0.09144094569919682,1.93,74.42,0.09144094569919682,0.6131585040120501,21.7,8.794477315848283,5.054477315848283,23.57,8.486371406137442,6.556371406137442,5.805424360992863,329.1874045171086,329.1874045171086,2207.3706144433804,0.09722953121256858,1.8100000000000003,42.02672663544025,10.991846467829188,11.250626474322852,60.013249343983,-17.98652270854275,winter,3,2,1,2023,winter,ER,ER,-10.156423562851842,0,45.97041413632523
2023-02-01T04:00:00Z,3.89,0.9324786641962868,70.99,0.09176837476795224,1.93,74.42,0.09176837476795224,0.6101287273310714,21.66,8.801285888503768,4.911285888503768,23.57,8.486371406137442,6.556371406137442,5.733828647320605,330.3661491646281,330.3661491646281,2196.463418391857,0.09841337747609312,1.9600000000000002,45.28472966389944,11.02096908591189,11.247733761525147,58.92551649854014,-13.6407868346407,winter,4,2,1,2023,winter,ER,ER,-10.156423562851842,0,45.97041413632523
2023-02-01T05:00:00Z,4.09,0.921848551054424,70.88,0.09220420940676863,1.93,74.42,0.09220420940676863,0.6060379990887957,21.6,8.811516481156673,4.721516481156673,23.57,8.486371406137442,6.556371406137442,5.638943943647058,331.93515386436707,331.93515386436707,2181.7367967196647,0.10002099509871128,2.16,49.57101838269084,11.060516479428298,11.244828135037208,57.49535527182353,-7.9243368891326895,winter,5,2,1,2023,winter,AM,ER,-10.156423562851842,2.2320866737191523,45.97041413632523
2023-02-01T06:00:00Z,4.35,0.8973486905328664,70.81,0.09320870368815248,1.93,74.42,0.09320870368815248,0.596358249471915,21.56,8.81834872828483,4.46834872828483,23.57,8.486371406137442,6.556371406137442,5.512360067211136,335.55133327734893,335.55133327734893,2146.889698098894,0.10387122048710296,2.42,54.65083873842205,11.155232023982732,11.24191575524843,55.1794565860215,-0.528617847599449,winter,6,2,1,2023,winter,AM,ER,-10.156423562851842,9.627805715252393,45.97041413632523
