Date,LowRange,Temp
2022-12-07 23:00,383,70.47
2022-12-08 00:00,382.5,70.38
2022-12-08 01:00,382.1,70.3
2022-12-08 02:00,382,70.29
2022-12-08 03:00,382.1,70.3
2022-12-08 04:00,381.7,70.21
2022-12-08 05:00,381.5,70.21
2022-12-08 06:00,381.1,70.14
2022-12-08 07:00,380.8,70.07
2022-12-08 08:00,380.7,70.09
2022-12-08 09:00,381.7,70.38
2022-12-08 10:00,383.9,70.97
2022-12-08 11:00,388.2,72.1
2022-12-08 12:00,393,73.27
2022-12-08 13:00,18,70.84
2022-12-08 14:00,8.7,74.41
2022-12-08 15:00,3.8,74.86
2022-12-08 16:00,3.8,74.03
2022-12-08 17:00,3.8,70.65
2022-12-08 18:00,19.1,67.71
2022-12-08 19:00,8.7,66.09
2022-12-08 20:00,19.1,64.89
2022-12-08 21:00,22,64.27
2022-12-08 22:00,7.4,63.63
2022-12-08 23:00,2.3,63.03
2022-12-09 00:00,2.3,62.8
2022-12-09 01:00,2.3,62.65
2022-12-09 02:00,1.9,62.87
2022-12-09 03:00,1.9,62.02
2022-12-09 04:00,1.9,60.73
2022-12-09 05:00,2,59.83
2022-12-09 06:00,2.3,58.68
2022-12-09 07:00,2.2,58.01
2022-12-09 08:00,1.9,58.98
2022-12-09 09:00,7.4,64.18
2022-12-09 10:00,7.4,66.88
2022-12-09 11:00,4,70.77
2022-12-09 12:00,3.8,73.58
2022-12-09 13:00,3.8,74.64
2022-12-09 14:00,3.8,75
2022-12-09 15:00,3.8,73.74
2022-12-09 16:00,3.8,71.67
2022-12-09 17:00,4,69.06
2022-12-09 18:00,3.8,65.86
2022-12-09 19:00,22,64.42
2022-12-09 20:00,3.1,63.55
2022-12-09 21:00,2.4,62.53
2022-12-09 22:00,2.3,61.65
2022-12-09 23:00,2.3,61.14
2022-12-10 00:00,1.9,60.82
2022-12-10 01:00,2,60.67
2022-12-10 02:00,1.9,61.43
2022-12-10 03:00,2.1,61.95
2022-12-10 04:00,1.9,61.41
2022-12-10 05:00,1.9,60.53
2022-12-10 06:00,2.2,59.85
2022-12-10 07:00,2,59.4
2022-12-10 08:00,2.1,59.68
2022-12-10 09:00,7.4,64.09
2022-12-10 10:00,19.1,67.44
2022-12-10 11:00,4,70.21
2022-12-10 12:00,3.8,71.6
2022-12-10 13:00,3.8,71.62
2022-12-10 14:00,2.4,71.44
2022-12-10 15:00,4,70.83
2022-12-10 16:00,2.4,71.06
2022-12-10 17:00,3.8,69.24
2022-12-10 18:00,3.8,67.98
2022-12-10 19:00,8.7,67.32
2022-12-10 20:00,8.7,66.27
2022-12-10 21:00,19.1,65.88
2022-12-10 22:00,8.7,66.33
2022-12-10 23:00,8.7,65.86
2022-12-11 00:00,3.8,65.62
2022-12-11 01:00,3.8,65.5
2022-12-11 02:00,4,65.12
2022-12-11 03:00,8.7,64.04
2022-12-11 04:00,4.1,63.93
2022-12-11 05:00,8.7,63.43
2022-12-11 06:00,3.1,63.21
2022-12-11 07:00,22,63.21
2022-12-11 08:00,7.4,63.34
2022-12-11 09:00,8.7,63.79
2022-12-11 10:00,19.1,65.95
2022-12-11 11:00,3.8,67.55
2022-12-11 12:00,2.6,71.8
2022-12-11 13:00,3.8,72.34
2022-12-11 14:00,2.6,70.95
2022-12-11 15:00,2.6,71.62
2022-12-11 16:00,3.8,69.22
2022-12-11 17:00,4,67.6
2022-12-11 18:00,4,66.11
2022-12-11 19:00,3.8,63.48
2022-12-11 20:00,4,62.37
2022-12-11 21:00,3.1,61.29
2022-12-11 22:00,1.9,60.98
2022-12-11 23:00,4,60.53
2022-12-12 00:00,1.9,59.34
2022-12-12 01:00,1.9,58.93
2022-12-12 02:00,2,58.17
2022-12-12 03:00,2,58.05
2022-12-12 04:00,2,58.75
2022-12-12 05:00,2.1,59.07
2022-12-12 06:00,1.9,59.05
2022-12-12 07:00,1.9,59.31
2022-12-12 08:00,2,60.22
2022-12-12 09:00,3.8,63.79
2022-12-12 10:00,3.8,66.09
2022-12-12 11:00,2.6,69.01
2022-12-12 12:00,3.8,68.54
2022-12-12 13:00,2.6,70.66
2022-12-12 14:00,2.6,71.53
2022-12-12 15:00,3.8,72.12
2022-12-12 16:00,3.8,71.62
2022-12-12 17:00,3.8,69.78
2022-12-12 18:00,3.8,67.17
2022-12-12 19:00,3.8,64.44
2022-12-12 20:00,3.8,62.91
2022-12-12 21:00,8.7,61.36
2022-12-12 22:00,4,61.23
2022-12-12 23:00,2.3,59.95
2022-12-13 00:00,2.1,59.5
2022-12-13 01:00,4,58.51
2022-12-13 02:00,2.1,58.3
2022-12-13 03:00,2,58.05
2022-12-13 04:00,2,57.67
2022-12-13 05:00,1.9,57.02
2022-12-13 06:00,2,56.75
2022-12-13 07:00,2,56.1
2022-12-13 08:00,2,56.14
2022-12-13 09:00,3.8,61.38
2022-12-13 10:00,4,64.13
2022-12-13 11:00,2.6,66.72
2022-12-13 12:00,2.6,69.98
2022-12-13 13:00,4,73.02
2022-12-13 14:00,3.8,71.82
2022-12-13 15:00,2.6,71.56
2022-12-13 16:00,3.8,69.69
2022-12-13 17:00,3.8,67.33
2022-12-13 18:00,2.6,64.92
2022-12-13 19:00,2.6,63.73
2022-12-13 20:00,3.8,62.53
2022-12-13 21:00,2.6,61.38
2022-12-13 22:00,3.8,60.66
2022-12-13 23:00,2.6,61.03
2022-12-14 00:00,2.6,60.62
2022-12-14 01:00,3.8,59.99
2022-12-14 02:00,4,58.89
2022-12-14 03:00,8.7,58.53
2022-12-14 04:00,3.8,58.24
2022-12-14 05:00,1.8,57.79
2022-12-14 06:00,8.7,58.68
2022-12-14 07:00,8.7,59.52
2022-12-14 08:00,3.8,60.51
2022-12-14 09:00,3.8,64.27
2022-12-14 10:00,2.6,68.99
2022-12-14 11:00,2.6,71.06
2022-12-14 12:00,3.8,74.39
2022-12-14 13:00,2.6,75.7
2022-12-14 14:00,2.6,77.41
2022-12-14 15:00,2.6,75.51
2022-12-14 16:00,3.8,74.79
2022-12-14 17:00,2.6,72.97
2022-12-14 18:00,3.8,69.22
2022-12-14 19:00,3.8,68.74
2022-12-14 20:00,2.6,68.7
2022-12-14 21:00,3.8,69.08
2022-12-14 22:00,3.8,68.77
2022-12-14 23:00,3.8,67.32
2022-12-15 00:00,4,66.25
2022-12-15 01:00,7.4,65.43
2022-12-15 02:00,7.4,65.8
2022-12-15 03:00,1.9,66.16
2022-12-15 04:00,2.1,66.78
2022-12-15 05:00,7.3,69.91
2022-12-15 06:00,8.7,70.61
2022-12-15 07:00,1.9,69.1
2022-12-15 08:00,11.3,69.3
2022-12-15 09:00,6.5,68.67
2022-12-15 10:00,6.1,69.17
2022-12-15 11:00,4.1,70.43
2022-12-15 12:00,3.8,68.38
2022-12-15 13:00,3.8,69.35
2022-12-15 14:00,2.6,67.64
2022-12-15 15:00,2.6,68.52
2022-12-15 16:00,3.8,67.17
2022-12-15 17:00,3.8,63.95
2022-12-15 18:00,2.4,59.81
2022-12-15 19:00,4,57.29
2022-12-15 20:00,8.7,56.08
2022-12-15 21:00,19.2,54.79
2022-12-15 22:00,19.3,53.24
2022-12-15 23:00,2.2,52.5
2022-12-16 00:00,2,52.09
2022-12-16 01:00,2,50.97
2022-12-16 02:00,2,50.41
2022-12-16 03:00,2.1,49.98
2022-12-16 04:00,2,48.63
2022-12-16 05:00,2.2,47.46
2022-12-16 06:00,2,46.47
2022-12-16 07:00,2.2,45.34
2022-12-16 08:00,2.1,46.18
2022-12-16 09:00,2.1,50.95
2022-12-16 10:00,3.8,53.82
2022-12-16 11:00,4,57.22
2022-12-16 12:00,2.6,59.58
2022-12-16 13:00,2.6,61
2022-12-16 14:00,2.4,62.53
2022-12-16 15:00,3.8,62.58
2022-12-16 16:00,2.6,61.79
2022-12-16 17:00,3.8,58.91
2022-12-16 18:00,3.8,55.4
2022-12-16 19:00,3.8,53.01
2022-12-16 20:00,3.8,50.59
2022-12-16 21:00,2,49.62
2022-12-16 22:00,2.9,48.16
2022-12-16 23:00,2.2,47.39
2022-12-17 00:00,2.1,46.53
2022-12-17 01:00,2.1,45.57
2022-12-17 02:00,2,45.48
2022-12-17 03:00,2,44.62
2022-12-17 04:00,2.2,43.84
2022-12-17 05:00,2.2,44.01
2022-12-17 06:00,2.2,43.56
2022-12-17 07:00,2.1,43.25
2022-12-17 08:00,2.2,43.7
2022-12-17 09:00,2.4,48.33
2022-12-17 10:00,2.4,52.29
2022-12-17 11:00,2.6,58.6
2022-12-17 12:00,2.6,64.71
2022-12-17 13:00,2.4,65.8
2022-12-17 14:00,2.6,67.95
2022-12-17 15:00,2.6,67.03
2022-12-17 16:00,2.6,64.47
2022-12-17 17:00,3.8,62.02
2022-12-17 18:00,2.6,58.6
2022-12-17 19:00,2.6,56.93
2022-12-17 20:00,2.6,56.3
2022-12-17 21:00,4,54.5
2022-12-17 22:00,4,52.86
2022-12-17 23:00,19.3,53.65
2022-12-18 00:00,2.6,55.31
2022-12-18 01:00,4,55.42
2022-12-18 02:00,2.6,53.78
2022-12-18 03:00,4,52.88
2022-12-18 04:00,2.5,50.99
2022-12-18 05:00,2.6,50.05
2022-12-18 06:00,3.8,48.76
2022-12-18 07:00,2.5,46.18
2022-12-18 08:00,2.6,45.23
2022-12-18 09:00,2.6,49.08
2022-12-18 10:00,3.8,50.43
2022-12-18 11:00,2.6,52.18
2022-12-18 12:00,2.6,54.41
2022-12-18 13:00,2.6,55.99
2022-12-18 14:00,3.8,56.93
2022-12-18 15:00,2.6,56.61
2022-12-18 16:00,3.8,55.92
2022-12-18 17:00,3.8,54.09
2022-12-18 18:00,2.6,50.88
2022-12-18 19:00,2.5,47.86
2022-12-18 20:00,3.8,45.27
2022-12-18 21:00,7.4,43.66
2022-12-18 22:00,2,42.66
2022-12-18 23:00,2.2,41.76
2022-12-19 00:00,2,41.52
2022-12-19 01:00,2,40.73
2022-12-19 02:00,2.2,39.76
2022-12-19 03:00,2,39.29
2022-12-19 04:00,2,38.61
2022-12-19 05:00,2.2,38.16
2022-12-19 06:00,2.1,38.01
2022-12-19 07:00,2.3,39.2
2022-12-19 08:00,2.3,39.45
2022-12-19 09:00,2.4,44.62
2022-12-19 10:00,2.6,48.22
2022-12-19 11:00,370.6,69.71
