Plot Title: Bradford_9DO,,,,,,
#,"Date Time, GMT-05:00","DO conc, mg/L (LGR S/N: 10733145, SEN S/N: 10733145)","Temp, °F (LGR S/N: 10733145, SEN S/N: 10733145)",,,
102,5/4/2023 10:41,4.68,72.68,,,
103,5/4/2023 10:42,4.73,72.64,,,
104,5/4/2023 10:43,4.76,72.64,,,
105,5/4/2023 10:44,4.79,72.64,,,
106,5/4/2023 10:45,4.78,72.64,,,
107,5/4/2023 10:46,4.74,72.64,,,
108,5/4/2023 10:47,4.72,72.64,,,
109,5/4/2023 10:48,4.72,72.64,,,
110,5/4/2023 10:49,4.75,72.64,,,
111,5/4/2023 10:50,4.72,72.64,,,
112,5/4/2023 10:51,4.72,72.61,,,
113,5/4/2023 10:52,4.78,72.61,,,
114,5/4/2023 10:53,4.78,72.61,,,
115,5/4/2023 10:54,4.74,72.64,,,
116,5/4/2023 10:55,4.75,72.64,,,
117,5/4/2023 10:56,4.79,72.64,,,
118,5/4/2023 10:57,4.74,72.64,,,
119,5/4/2023 10:58,4.75,72.64,,,
120,5/4/2023 10:59,4.78,72.64,,,
121,5/4/2023 11:00,4.79,72.64,,,
122,5/4/2023 11:01,4.78,72.64,,,
123,5/4/2023 11:02,4.78,72.64,,,
124,5/4/2023 11:03,4.82,72.64,,,
125,5/4/2023 11:04,4.85,72.64,,,
126,5/4/2023 11:05,4.82,72.68,,,
127,5/4/2023 11:06,4.81,72.68,,,
128,5/4/2023 11:07,4.82,72.68,,,
129,5/4/2023 11:08,4.82,72.68,,,
130,5/4/2023 11:09,4.8,72.64,,,
131,5/4/2023 11:10,4.82,72.68,,,
132,5/4/2023 11:11,4.79,72.68,,,
133,5/4/2023 11:12,4.75,72.68,,,
134,5/4/2023 11:13,4.67,72.68,,,
135,5/4/2023 11:14,4.67,72.68,,,
136,5/4/2023 11:15,4.7,72.68,,,
137,5/4/2023 11:16,4.74,72.68,,,
138,5/4/2023 11:17,4.8,72.68,,,
139,5/4/2023 11:18,4.8,72.68,,,
140,5/4/2023 11:19,4.73,72.68,,,
141,5/4/2023 11:20,4.72,72.68,,,
142,5/4/2023 11:21,4.73,72.68,,,
143,5/4/2023 11:22,4.73,72.68,,,
144,5/4/2023 11:23,4.87,72.68,,,
145,5/4/2023 11:24,4.84,72.68,,,
146,5/4/2023 11:25,4.75,72.68,,,
147,5/4/2023 11:26,4.69,72.72,,,
148,5/4/2023 11:27,4.69,72.72,,,
149,5/4/2023 11:28,4.73,72.72,,,
150,5/4/2023 11:29,4.82,72.72,,,
151,5/4/2023 11:30,4.79,72.72,,,
152,5/4/2023 11:31,4.86,72.72,,,
153,5/4/2023 11:32,4.84,72.72,,,
154,5/4/2023 11:33,4.8,72.72,,,
155,5/4/2023 11:34,4.78,72.72,,,
156,5/4/2023 11:35,4.76,72.72,,,
157,5/4/2023 11:36,4.79,72.72,,,
158,5/4/2023 11:37,4.82,72.72,,,
159,5/4/2023 11:38,4.84,72.72,,,
160,5/4/2023 11:39,4.97,72.72,,,
161,5/4/2023 11:40,4.94,72.72,,,
162,5/4/2023 11:41,4.88,72.72,,,
163,5/4/2023 11:42,4.92,72.72,,,
164,5/4/2023 11:43,4.88,72.72,,,
165,5/4/2023 11:44,4.86,72.72,,,
166,5/4/2023 11:45,4.92,72.72,,,
167,5/4/2023 11:46,4.79,72.72,,,
168,5/4/2023 11:47,4.71,72.75,,,
169,5/4/2023 11:48,4.7,72.75,,,
170,5/4/2023 11:49,4.74,72.75,,,
171,5/4/2023 11:50,4.82,72.79,,,
172,5/4/2023 11:51,4.84,72.79,,,
173,5/4/2023 11:52,4.81,72.79,,,
174,5/4/2023 11:53,4.82,72.79,,,
175,5/4/2023 11:54,4.94,72.79,,,
176,5/4/2023 11:55,4.87,72.79,,,
177,5/4/2023 11:56,4.79,72.79,,,
178,5/4/2023 11:57,4.72,72.79,,,
179,5/4/2023 11:58,4.74,72.79,,,
180,5/4/2023 11:59,4.82,72.79,,,
181,5/4/2023 12:00,4.8,72.79,,,
182,5/4/2023 12:01,4.75,72.79,,,
183,5/4/2023 12:02,4.74,72.79,,,
184,5/4/2023 12:03,4.79,72.79,,,
185,5/4/2023 12:04,4.8,72.79,,,
186,5/4/2023 12:05,4.81,72.79,,,
187,5/4/2023 12:06,4.8,72.79,,,
188,5/4/2023 12:07,4.79,72.79,,,
189,5/4/2023 12:08,4.76,72.79,,,
190,5/4/2023 12:09,4.83,72.79,,,
191,5/4/2023 12:10,4.83,72.79,,,
192,5/4/2023 12:11,4.83,72.79,,,
193,5/4/2023 12:12,4.81,72.79,,,
194,5/4/2023 12:13,4.83,72.79,,,
195,5/4/2023 12:14,4.74,72.79,,,
196,5/4/2023 12:15,4.78,72.79,,,
197,5/4/2023 12:16,4.79,72.79,,,
198,5/4/2023 12:17,4.85,72.79,,,
199,5/4/2023 12:18,4.84,72.79,,,
200,5/4/2023 12:19,4.84,72.79,,,
201,5/4/2023 12:20,4.81,72.79,,,
202,5/4/2023 12:21,4.8,72.79,,,
203,5/4/2023 12:22,4.79,72.79,,,
204,5/4/2023 12:23,4.8,72.79,,,
205,5/4/2023 12:24,4.81,72.79,,,
206,5/4/2023 12:25,4.82,72.79,,,
207,5/4/2023 12:26,4.96,72.79,,,
208,5/4/2023 12:27,5.02,72.79,,,
209,5/4/2023 12:28,5,72.79,,,
210,5/4/2023 12:29,4.94,72.79,,,
211,5/4/2023 12:30,4.92,72.79,,,
212,5/4/2023 12:31,4.89,72.79,,,
213,5/4/2023 12:32,4.97,72.79,,,
214,5/4/2023 12:33,4.9,72.79,,,
215,5/4/2023 12:34,4.85,72.79,,,
216,5/4/2023 12:35,4.78,72.79,,,
217,5/4/2023 12:36,4.87,72.79,,,
218,5/4/2023 12:37,4.87,72.79,,,
219,5/4/2023 12:38,4.83,72.79,,,
220,5/4/2023 12:39,4.86,72.79,,,
221,5/4/2023 12:40,4.96,72.79,,,
222,5/4/2023 12:41,4.99,72.79,,,
223,5/4/2023 12:42,5,72.79,,,
224,5/4/2023 12:43,5.02,72.79,,,
225,5/4/2023 12:44,5.03,72.79,,,
226,5/4/2023 12:45,4.96,72.79,,,
227,5/4/2023 12:46,4.89,72.79,,,
228,5/4/2023 12:47,4.88,72.82,,,
229,5/4/2023 12:48,4.8,72.82,,,
230,5/4/2023 12:49,4.78,72.82,,,
231,5/4/2023 12:50,4.76,72.86,,,
232,5/4/2023 12:51,4.8,72.86,,,
233,5/4/2023 12:52,4.83,72.86,,,
234,5/4/2023 12:53,4.92,72.86,,,
235,5/4/2023 12:54,4.83,72.86,,,
236,5/4/2023 12:55,4.84,72.86,,,
237,5/4/2023 12:56,5.02,72.86,,,
238,5/4/2023 12:57,5.12,72.86,,,
239,5/4/2023 12:58,5.03,72.86,,,
240,5/4/2023 12:59,5.03,72.86,,,
241,5/4/2023 13:00,4.97,72.86,,,
242,5/4/2023 13:01,4.99,72.86,,,
243,5/4/2023 13:02,5.03,72.86,,,
244,5/4/2023 13:03,4.97,72.86,,,
245,5/4/2023 13:04,4.96,72.9,,,
246,5/4/2023 13:05,4.94,72.93,,,
