Date,DO,Temp,Dopercent
2022-08-31 19:00,4.83,73.29,85.8
2022-08-31 20:00,4.56,73.22,81
2022-08-31 21:00,4.55,73.15,80.8
2022-08-31 22:00,4.5,73.15,80
2022-08-31 23:00,4.45,73.11,79.1
2022-09-01 00:00,4.4,73.11,78.3
2022-09-01 01:00,4.42,73.08,78.7
2022-09-01 02:00,4.42,73.08,78.7
2022-09-01 03:00,4.43,73.08,79
2022-09-01 04:00,4.45,73.04,79.4
2022-09-01 05:00,4.46,73.04,79.6
2022-09-01 06:00,4.47,73,79.8
2022-09-01 07:00,4.48,73,80
2022-09-01 08:00,4.67,73.11,83.6
2022-09-01 09:00,4.82,73.18,86.4
2022-09-01 10:00,5.02,73.33,90.2
2022-09-01 11:00,5.32,73.62,96
2022-09-01 12:00,5.52,73.87,99.9
2022-09-01 13:00,5.58,74.19,101.4
2022-09-01 14:00,5.5,74.26,100.1
2022-09-01 15:00,5.34,74.08,97.1
2022-09-01 16:00,5.18,73.9,94.1
2022-09-01 17:00,5,73.72,90.7
2022-09-01 18:00,4.93,73.54,89.3
2022-09-01 19:00,4.7,73.36,85
2022-09-01 20:00,4.51,73.22,81.5
2022-09-01 21:00,4.46,73.11,80.6
2022-09-01 22:00,4.45,73.08,80.5
2022-09-01 23:00,4.47,73.04,80.8
2022-09-02 00:00,4.47,73.04,80.9
2022-09-02 01:00,4.47,73,80.9
2022-09-02 02:00,4.49,73,81.4
2022-09-02 03:00,4.5,72.97,81.6
2022-09-02 04:00,4.48,72.97,81.3
2022-09-02 05:00,4.51,72.93,81.8
2022-09-02 06:00,4.52,72.9,82
2022-09-02 07:00,4.53,72.93,82.3
2022-09-02 08:00,4.66,72.97,84.8
2022-09-02 09:00,4.83,73.15,88.1
2022-09-02 10:00,5.07,73.4,92.8
2022-09-02 11:00,5.33,73.9,98.1
2022-09-02 12:00,5.35,74.12,98.8
2022-09-02 13:00,5.38,74.26,99.6
2022-09-02 14:00,5.2,74.19,96.2
2022-09-02 15:00,5.19,74.05,96
2022-09-02 16:00,5.12,73.87,94.6
2022-09-02 17:00,4.88,73.62,90
2022-09-02 18:00,4.67,73.4,86
2022-09-02 19:00,4.54,73.29,83.5
2022-09-02 20:00,4.48,73.22,82.4
2022-09-02 21:00,4.43,73.15,81.5
2022-09-02 22:00,4.41,73.11,81.2
2022-09-02 23:00,4.42,73.08,81.4
2022-09-03 00:00,4.44,73.04,81.8
2022-09-03 01:00,4.47,73,82.3
2022-09-03 02:00,4.46,73,82.2
2022-09-03 03:00,4.47,73,82.5
2022-09-03 04:00,4.46,72.97,82.3
2022-09-03 05:00,4.46,72.97,82.4
2022-09-03 06:00,4.47,72.97,82.6
2022-09-03 07:00,4.48,72.97,82.9
2022-09-03 08:00,4.6,73.04,85.2
2022-09-03 09:00,4.85,73.29,90.1
2022-09-03 10:00,5.01,73.54,93.4
2022-09-03 11:00,5.19,73.8,97.1
2022-09-03 12:00,5.32,74.01,99.8
2022-09-03 13:00,5.35,74.16,100.6
2022-09-03 14:00,5.28,74.12,99.3
2022-09-03 15:00,5.17,74.08,97.3
2022-09-03 16:00,5,73.87,93.9
2022-09-03 17:00,4.74,73.65,88.9
2022-09-03 18:00,4.58,73.44,85.8
2022-09-03 19:00,4.5,73.29,84.2
2022-09-03 20:00,4.42,73.22,82.7
2022-09-03 21:00,4.41,73.15,82.5
2022-09-03 22:00,4.41,73.11,82.6
2022-09-03 23:00,4.4,73.08,82.4
2022-09-04 00:00,4.42,73.04,82.8
2022-09-04 01:00,4.44,73,83.2
2022-09-04 02:00,4.49,72.97,84.2
2022-09-04 03:00,4.48,72.93,84
2022-09-04 04:00,4.49,72.93,84.2
2022-09-04 05:00,4.5,72.9,84.5
2022-09-04 06:00,4.47,72.9,84
2022-09-04 07:00,4.44,72.9,83.5
2022-09-04 08:00,4.62,72.97,87
2022-09-04 09:00,1.89,73.15,35.7
2022-09-04 10:00,2.6,73.47,49.3
2022-09-04 11:00,3.34,73.98,63.7
2022-09-04 12:00,5.29,74.3,101.3
2022-09-04 13:00,5.39,74.55,103.5
2022-09-04 14:00,5.34,74.44,102.5
2022-09-04 15:00,5.01,74.12,95.9
2022-09-04 16:00,4.68,73.65,89.2
2022-09-04 17:00,4.51,73.44,85.9
2022-09-04 18:00,4.46,73.29,84.8
2022-09-04 19:00,4.44,73.22,84.4
2022-09-04 20:00,4.44,73.15,84.4
2022-09-04 21:00,4.43,73.11,84.3
2022-09-04 22:00,4.46,73.08,84.9
2022-09-04 23:00,4.47,73.08,85.1
2022-09-05 00:00,4.44,73.04,84.6
2022-09-05 01:00,4.49,73,85.6
2022-09-05 02:00,4.5,73,85.8
2022-09-05 03:00,4.47,72.97,85.3
2022-09-05 04:00,4.51,72.93,86
2022-09-05 05:00,4.51,72.93,86.1
2022-09-05 06:00,4.54,72.9,86.7
2022-09-05 07:00,4.57,72.9,87.3
2022-09-05 08:00,4.63,72.9,88.5
2022-09-05 09:00,4.8,73.11,92.1
2022-09-05 10:00,5.01,73.51,96.6
2022-09-05 11:00,5.19,74.01,100.6
2022-09-05 12:00,5.31,74.41,103.5
2022-09-05 13:00,5.29,74.59,103.3
2022-09-05 14:00,5.16,74.44,100.7
2022-09-05 15:00,5.05,74.26,98.5
2022-09-05 16:00,4.98,74.12,97
2022-09-05 17:00,4.87,73.87,94.7
2022-09-05 18:00,4.73,73.65,91.8
2022-09-05 19:00,4.58,73.47,88.8
2022-09-05 20:00,4.47,73.36,86.6
2022-09-05 21:00,4.43,73.26,85.8
2022-09-05 22:00,4.43,73.18,85.8
2022-09-05 23:00,4.44,73.15,86
2022-09-06 00:00,4.46,73.11,86.4
2022-09-06 01:00,4.46,73.08,86.5
2022-09-06 02:00,4.48,73.04,86.9
2022-09-06 03:00,4.49,73,87.1
2022-09-06 04:00,4.5,73,87.3
2022-09-06 05:00,4.52,72.93,87.7
2022-09-06 06:00,4.54,72.9,88.1
2022-09-06 07:00,4.57,72.9,88.8
2022-09-06 08:00,4.63,72.9,90
2022-09-06 09:00,4.74,73.08,92.4
2022-09-06 10:00,4.96,73.47,97.1
2022-09-06 11:00,5.16,73.94,101.6
2022-09-06 12:00,5.3,74.34,104.9
2022-09-06 13:00,5.31,74.52,105.4
2022-09-06 14:00,5.17,74.41,102.5
2022-09-06 15:00,5.05,74.19,100
2022-09-06 16:00,5.02,74.16,99.4
2022-09-06 17:00,4.86,73.9,96.1
2022-09-06 18:00,4.79,73.72,94.6
2022-09-06 19:00,4.58,73.51,90.3
2022-09-06 20:00,4.49,73.36,88.4
2022-09-06 21:00,4.45,73.26,87.6
2022-09-06 22:00,4.43,73.18,87.2
2022-09-06 23:00,4.45,73.11,87.6
2022-09-07 00:00,4.48,73.08,88.2
2022-09-07 01:00,4.47,73.04,88
2022-09-07 02:00,4.47,73.04,88.1
2022-09-07 03:00,4.49,73,88.5
2022-09-07 04:00,4.5,72.97,88.7
2022-09-07 05:00,4.51,72.93,89
2022-09-07 06:00,4.49,72.9,88.6
2022-09-07 07:00,4.54,72.9,89.6
2022-09-07 08:00,4.61,72.93,91.1
2022-09-07 09:00,4.76,73.11,94.3
2022-09-07 10:00,4.99,73.51,99.4
2022-09-07 11:00,5.18,73.9,103.6
2022-09-07 12:00,5.29,74.16,106.2
2022-09-07 13:00,5.29,74.23,106.3
2022-09-07 14:00,5.25,74.12,105.5
2022-09-07 15:00,5.19,73.94,104.2
2022-09-07 16:00,5.13,73.9,103
2022-09-07 17:00,4.98,73.83,100
2022-09-07 18:00,4.76,73.62,95.4
2022-09-07 19:00,4.56,73.4,91.2
2022-09-07 20:00,4.46,73.29,89.2
2022-09-07 21:00,4.42,73.18,88.4
2022-09-07 22:00,4.42,73.15,88.4
2022-09-07 23:00,4.43,73.11,88.6
2022-09-08 00:00,4.42,73.08,88.4
2022-09-08 01:00,4.44,73.04,88.9
2022-09-08 02:00,4.43,73,88.7
2022-09-08 03:00,4.45,73,89.1
2022-09-08 04:00,4.46,72.97,89.4
2022-09-08 05:00,4.46,72.93,89.4
2022-09-08 06:00,4.45,72.93,89.2
2022-09-08 07:00,4.42,72.93,88.7
2022-09-08 08:00,4.41,72.93,88.6
2022-09-08 09:00,4.43,72.97,89.1
2022-09-08 10:00,4.56,73.08,91.8
2022-09-08 11:00,4.74,73.18,95.6
2022-09-08 12:00,4.76,73.26,96.2
2022-09-08 13:00,4.85,73.29,98.1
2022-09-08 14:00,4.97,73.33,100.6
2022-09-08 15:00,4.99,73.33,101.1
2022-09-08 16:00,5.02,73.36,101.8
2022-09-08 17:00,4.97,73.4,100.9
2022-09-08 18:00,4.84,73.33,98.2
2022-09-08 19:00,4.65,73.22,94.3
2022-09-08 20:00,4.81,73.15,97.6
2022-09-08 21:00,4.85,73.08,98.4
2022-09-08 22:00,4.76,73,96.5
2022-09-08 23:00,4.61,72.93,93.5
2022-09-09 00:00,4.46,72.9,90.5
2022-09-09 01:00,4.38,72.86,88.9
2022-09-09 02:00,4.37,72.82,88.7
2022-09-09 03:00,4.38,72.82,89
2022-09-09 04:00,4.4,72.82,89.4
2022-09-09 05:00,4.4,72.82,89.5
2022-09-09 06:00,4.41,72.82,89.7
2022-09-09 07:00,4.44,72.82,90.4
2022-09-09 08:00,4.55,72.9,92.8
2022-09-09 09:00,4.74,73.04,96.9
2022-09-09 10:00,5.03,73.44,103.3
2022-09-09 11:00,5.19,73.62,106.8
2022-09-09 12:00,5,73.54,102.9
2022-09-09 13:00,4.93,73.47,101.5
2022-09-09 14:00,4.89,73.4,100.6
2022-09-09 15:00,4.98,73.47,102.6
2022-09-09 16:00,4.92,73.4,101.4
2022-09-09 17:00,4.89,73.36,100.8
2022-09-09 18:00,4.73,73.29,97.5
2022-09-09 19:00,4.8,73.22,98.9
2022-09-09 20:00,4.71,73.18,97.1
2022-09-09 21:00,4.62,73.15,95.2
2022-09-09 22:00,4.49,73.08,92.6
2022-09-09 23:00,4.41,73,90.9
2022-09-10 00:00,4.38,72.93,90.3
2022-09-10 01:00,4.4,72.9,90.7
2022-09-10 02:00,4.43,72.9,91.4
2022-09-10 03:00,4.43,72.93,91.5
2022-09-10 04:00,4.41,72.93,91.1
2022-09-10 05:00,4.43,72.97,91.6
2022-09-10 06:00,4.44,72.93,91.9
2022-09-10 07:00,4.45,72.93,92.1
2022-09-10 08:00,4.54,72.97,94.1
2022-09-10 09:00,4.68,73.15,97.2
2022-09-10 10:00,4.93,73.44,102.8
2022-09-10 11:00,5.15,73.62,107.7
2022-09-10 12:00,5.12,73.62,107.1
2022-09-10 13:00,4.89,73.51,102.2
2022-09-10 14:00,4.89,73.44,102.2
2022-09-10 15:00,4.81,73.36,100.5
2022-09-10 16:00,4.93,73.36,103.1
2022-09-10 17:00,4.96,73.36,103.8
2022-09-10 18:00,4.88,73.33,102.2
2022-09-10 19:00,4.7,73.22,98.3
2022-09-10 20:00,4.58,73.15,95.8
2022-09-10 21:00,4.54,73.11,95
2022-09-10 22:00,4.55,73.04,95.2
2022-09-10 23:00,4.53,73,94.8
2022-09-11 00:00,4.54,72.97,95
2022-09-11 01:00,4.55,72.93,95.3
2022-09-11 02:00,4.56,72.93,95.5
2022-09-11 03:00,4.56,72.9,95.6
2022-09-11 04:00,4.6,72.9,96.5
2022-09-11 05:00,4.56,72.86,95.6
2022-09-11 06:00,4.54,72.86,95.3
2022-09-11 07:00,4.6,72.86,96.6
2022-09-11 08:00,4.66,72.9,98
2022-09-11 09:00,4.79,73.04,100.9
2022-09-11 10:00,5.02,73.44,106.3
2022-09-11 11:00,5.27,73.87,112.1
2022-09-11 12:00,5.32,74.19,113.7
2022-09-11 13:00,5.22,74.12,111.5
2022-09-11 14:00,5.19,74.19,111
2022-09-11 15:00,5.08,74.12,108.7
2022-09-11 16:00,5.1,74.01,109
2022-09-11 17:00,5.08,73.9,108.5
2022-09-11 18:00,4.87,73.69,103.9
2022-09-11 19:00,4.65,73.44,99
2022-09-11 20:00,4.49,73.29,95.5
2022-09-11 21:00,4.45,73.22,94.6
2022-09-11 22:00,4.43,73.15,94.2
2022-09-11 23:00,4.43,73.11,94.2
2022-09-12 00:00,4.43,73.08,94.2
2022-09-12 01:00,4.44,73.04,94.5
2022-09-12 02:00,4.43,73.04,94.3
2022-09-12 03:00,4.44,73,94.6
2022-09-12 04:00,4.45,72.97,94.8
2022-09-12 05:00,4.43,72.97,94.4
2022-09-12 06:00,4.44,72.93,94.7
2022-09-12 07:00,4.44,72.93,94.7
2022-09-12 08:00,4.5,72.97,96.1
2022-09-12 09:00,4.66,73.11,99.7
