date,GPP_daily_mean,ER_daily_mean,K600_daily_mean
2023-12-29,1.762672653724185,-22.02429353195368,4.805022829844584
2023-12-30,1.8346883253681305,-22.03474699136292,5.0224447353666974
2023-12-31,2.0064616827362673,-22.311682976125816,5.241223878584593
2024-01-01,2.376445670364859,-23.00257812887074,5.372882550331733
2024-01-02,2.5990581644090542,-23.47605279930655,6.06818622437614
2024-01-03,3.2506607862710446,-24.377486919541315,6.0461520435885
2024-01-04,3.3327346641565394,-24.52193796063793,6.703127960685249
2024-01-05,3.5295521223992985,-24.013444781838125,6.280676910550053
2024-01-12,2.437419496054638,-20.278650099905875,5.187275197414471
2024-01-13,5.584277758222908,-27.222367180525325,7.588676299487177
2024-01-14,4.8556137272222415,-27.44236707125941,7.639759907333519
2024-01-15,4.968796994832602,-27.059839569255523,6.606126533680056
2024-01-16,1.5030775452510998,-14.894683128709879,3.806982599694173
2024-01-17,5.855742758486994,-29.220600599660383,8.355457304407562
2024-01-18,2.1993751316311885,-18.67372912880726,5.195109046981661
2024-01-19,5.855571684748375,-24.90553092023145,6.435533128052817
2024-01-20,5.215163867337629,-26.077587140371595,7.759217842809258
2024-01-21,5.937018052735349,-26.674124489724637,8.075271907084149
2024-01-22,6.3818995745068525,-27.564711414881586,7.595717637237475
2024-01-23,4.918079329771295,-25.670374321978585,6.736038604369801
2024-01-24,7.506076868344043,-29.461953013094465,7.727977840179756
2024-01-25,7.104167158888676,-30.035695435409824,7.874660412908875
2024-01-26,6.950949117340977,-26.49613290440904,6.979642104537374
2024-01-27,6.603325506357802,-26.8421875801558,7.113467983251213
2024-01-28,7.091514693943012,-28.285204680280934,8.221973967663097
2024-01-29,6.869338667388379,-28.316019333348812,8.764099595532922
2024-01-30,6.569997948424224,-26.936583520972757,8.208306683628491
2024-01-31,6.600150443062595,-26.495608719867363,8.035926120937047
2024-02-01,7.302259087575673,-26.996863774014507,8.190614019575303
2024-02-02,7.648847986540266,-29.336594339393283,8.855434002596928
2024-02-03,7.786895980196369,-30.07642174089053,8.859033005032876
2024-02-04,4.3574653011262345,-21.101200761907748,6.085366160408345
2024-02-05,5.699676901669634,-27.70160714034679,9.14592884490495
2024-02-06,6.149440574320991,-26.451472443917904,9.348474613148863
2024-02-07,6.105272838794746,-25.57457493253718,9.448551251241655
2024-02-08,6.481423536886507,-26.64142164504914,9.481476327254335
2024-02-09,6.754358142589479,-27.568560317528355,9.667175582953623
2024-02-10,6.788895375783155,-27.361830922846007,9.329115706667586
2024-02-11,8.37908764366684,-29.161049150403628,9.730189735146643
2024-02-12,5.657123120517917,-25.68703836451318,8.77799350433315
2024-02-13,7.469092228339514,-25.869007445479276,10.021889097430192
2024-02-20,6.985199649620801,-25.055533174708497,10.221933733316671
2024-02-21,7.0739313802139145,-25.54071503602664,10.060676159460789
2024-02-22,7.587974293942565,-27.165751162448263,9.99716684060576
2024-02-23,5.729863103883258,-23.83172602739416,7.987130786998918
2024-02-24,8.006860513205385,-29.181953192950537,10.13108894441558
2024-02-25,7.587046151549625,-28.25080721216708,10.197053138865883
2024-02-26,7.811743032380979,-28.281213197616832,9.961312133029422
2024-02-27,8.134722100903327,-28.940113772876675,9.952803517489357
2024-02-28,8.730853970391763,-29.057935686475364,9.469026682602891
2024-02-29,9.121259541538498,-30.29364622662397,10.519687421468971
2024-03-01,6.775495301320972,-26.29543032520444,8.959836660880821
2024-03-07,7.296616924752803,-27.190140672426118,9.19953774491731
2024-03-08,8.212054827349071,-29.828539526339178,9.562419964398575
2024-03-09,6.715170111078984,-28.767672621530178,8.868890617874841
2024-03-10,6.17698460060845,-25.942443168642246,8.903997302328879
2024-03-11,6.139298271431178,-25.45175834921582,8.945805985171177
2024-03-12,5.760485563069251,-25.333418005860032,8.412524449839006
2024-03-13,6.677333901390489,-27.99048326467722,9.036876085572596
2024-03-14,7.686868766159263,-30.3770744726413,9.235611201274159
2024-03-15,7.214946766893779,-29.48699697978722,8.393910081286124
2024-03-16,5.905660578812104,-27.63330845996759,7.748801310980763
2024-03-17,6.475200877233481,-29.088871417112184,8.30102258448407
2024-03-18,3.5653477285668944,-19.31736294845424,5.800903064668194
2024-03-19,3.2093017294475272,-19.684234318657655,7.062125836655662
2024-03-20,3.2477027893969455,-18.612337827102877,6.655912148742463
2024-03-21,4.875904687780984,-22.899167978598886,7.698721484107419
2024-03-22,2.082727570465072,-17.571275509592503,5.812472035110796
2024-03-27,1.03031652500075,-16.13254292408101,5.519821956729109
2024-03-30,2.8998836627604194,-17.25878691353684,6.1727171370216505
2024-03-31,3.6652993713172943,-19.70788484949315,6.828812007769415
2024-04-01,4.756894093872932,-23.292554829617224,7.996414386107879
2024-04-05,2.7079691011366855,-17.546244141103976,6.1314705668748966
2024-04-06,2.673857586504068,-18.597219288356282,6.266825356270703
2024-04-07,2.7878506323837247,-19.472226148627914,6.244154016606315
2024-04-08,3.5740219276991714,-21.367856062130382,6.609941000643106
2024-04-09,4.908129911603125,-24.47521284489224,7.337733407873849
2024-04-10,4.581195223208828,-24.436853697523837,7.241864288269978
2024-04-11,3.309562071646049,-18.484138339967263,5.523005751601902
2024-04-12,2.8563208746807187,-18.660901993902435,6.32031146503381
2024-04-13,2.229031460368485,-16.54221027039039,5.764452402454036
2024-04-14,2.4420279322750145,-17.717270904324657,5.989758835982753
