ID,file,status,visit_date,n_total,n_used,n_discarded,mean_DO,sd_DO,mean_Temp,sheet_note,own_z,matches_other_site,manually_verified,flagged
OS,roving_OS_05182023 (3).xlsx,OK,2022-05-16,43,43,0,1.778,0.061,74.48,NA,0.6585579068905338,"AM,LF",FALSE,FALSE
GB,ROVING_GB_DO_06062022.xlsx,OK,2022-06-06,106,106,0,4.657,0.014,73,NA,0.5970901805202682,,FALSE,FALSE
OS,roving_OS_05182023 (7).xlsx,OK,2022-05-02,157,157,0,1.847,0.086,73.48,NA,0.5669440045206815,"AM,LF",FALSE,FALSE
LF,DO_LittleFanning_09192022.csv,OK,2022-09-19,135,135,0,1.669,0.014,73.3,NA,0.5552437743757607,"AM,OS",FALSE,FALSE
OS,roving_Otter_DO_08242022.csv,OK,2022-08-24,86,86,0,1.873,0.067,74.05,NA,0.5324228239175486,"AM,LF",FALSE,FALSE
AM,ROVING_AllenMill_DO_09122022.xlsx,OK,2022-09-12,2,2,0,1.24,0.057,71.72,NA,0.5311614730878185,LF,FALSE,FALSE
AM,ROVING_AllenMill_DO_06302022.xlsx,OK,2022-06-30,129,129,0,1.239,0.005,71.73,NA,0.528351094923333,LF,FALSE,FALSE
LF,Roving_LittleFanning_DO_06272022.csv,OK,2022-06-27,87,87,0,1.68,0.072,74.28,NA,0.4732614721189377,"AM,OS",FALSE,FALSE
GB,Roving_GB_DO_03012023.csv,OK,2023-03-01,298,295,3,4.561,0.086,73.05,NA,0.46440347373798196,,FALSE,FALSE
OS,roving_OS_05182023 (2).csv,OK,2023-01-04,147,147,0,2.62,0.194,73.31,NA,0.4593972495647677,,FALSE,FALSE
LF,ROVINGDO_LF_08242022 (3).xlsx,OK,2022-04-18,4607,4516,91,1.8,0.05,73.24,NA,0.42109091613732175,"AM,OS",FALSE,FALSE
GB,ROVING_GB_DO_11072022.xlsx,OK,2022-11-07,46,42,4,4.633,0.014,72.97,NA,0.3317167669557056,,FALSE,FALSE
GB,Roving_GB_DO_01182022.xlsx,OK,2023-01-18,8,8,0,4.631,0.083,73.19,NA,0.3096023158253279,,FALSE,FALSE
GB,ROVING_GB_DO_10242022.csv,OK,2022-10-24,118,118,0,4.631,0.019,72.93,NA,0.3096023158253279,,FALSE,FALSE
LF,roving_LittleFanning_DO_05172023 (2).csv,OK,2022-07-08,91,91,0,1.702,0.008,73.24,NA,0.3092968676052901,"AM,OS",FALSE,FALSE
LF,roving_LittleFanning_DO_05172023 (6).csv,OK,2022-10-31,135,135,0,1.784,0.044,73.43,NA,0.30184393103648716,"AM,OS",FALSE,FALSE
AM,ROVING_AllenMill_DO_08152022.xlsx,OK,2022-08-15,115,115,0,0.947,0.006,71.65,NA,0.2922793291065253,,FALSE,FALSE
AM,ROVING_GB_DO_08152022.xlsx,OK,2022-08-15,115,115,0,0.947,0.006,71.65,NA,0.2922793291065253,,TRUE,FALSE
GB,ROVING_GB_DO_08012022.xlsx,OK,2022-08-01,112,112,0,4.58,0.017,73.06,NA,0.2543161879993687,,FALSE,FALSE
AM,ROVING_AllenMill_DO_10242022.xlsx,OK,2022-10-24,40,40,0,0.975,0.017,72.16,NA,0.21358874050092241,,FALSE,FALSE
LF,ROVINGDO_LF_08242022 (1).xlsx,OK,2022-08-24,128,128,0,1.768,0.031,73.43,NA,0.18259694593565254,"AM,OS",FALSE,FALSE
AM,ROVING_AllenMill_DO_08012022.xlsx,OK,2022-08-01,25,25,0,0.995,0.018,72.47,NA,0.15738117721120606,,FALSE,FALSE
AM,ROVING_AllenMill_DO_08292022.xlsx,OK,2022-08-29,45,45,0,1.096,0.108,74.19,NA,0.12646701740186148,,FALSE,FALSE
GB,ROVING_GB_DO_07052022.xlsx,OK,2022-07-05,120,120,0,4.612,0.05,73.19,NA,0.09951503008671463,,FALSE,FALSE
OS,roving_OS_05182023 (5).xlsx,OK,2022-09-07,172,172,0,2.344,0.165,74.75,NA,0.0929416400853574,,FALSE,FALSE
AM,ROVING_AllenMill_DO_10102022.xlsx,OK,2022-10-10,124,124,0,1.084,0.327,72.35,NA,0.09274247942803165,,FALSE,FALSE
LF,roving_LittleFanning_DO_05172023 (3).csv,OK,2022-07-25,79,79,0,1.752,0.035,73.61,NA,0.06334996083481796,"AM,OS",FALSE,FALSE
GB,ROVING_GB_DO_10102022.xlsx,OK,2022-10-10,46,46,0,4.598,0.015,72.99,NA,0.0552861278259493,,FALSE,FALSE
LF,Roving_LF_DO_01042022.csv,OK,2023-01-04,14,14,0,1.749,0.054,74.42,NA,0.040991151128412305,"AM,OS",FALSE,FALSE
LF,ROVING_LittleFanning_DO_06022022.xlsx,OK,2022-06-02,91,91,0,1.738,0.103,74.73,NA,0.040991151128412305,"AM,OS",FALSE,FALSE
GB,ROVING_GB_DO_07202022.xlsx,OK,2022-07-20,80,80,0,4.601,0.012,72.95,NA,0.022114451130377757,,FALSE,FALSE
OS,rovingDO_LF_05302023.csv,OK,2023-05-30,101,44,57,2.285,0.103,74.9,NA,0.014605114870556355,,TRUE,FALSE
AM,ROVINGDO_AM_04112022.xlsx,OK,2022-04-11,51,51,0,1.046,0.043,73.27,NA,0.014051890822429398,,FALSE,FALSE
AM,ROVING_AllenMill_DO_09262022.xlsx,OK,2022-09-26,59,59,0,1.056,0.1,73.42,NA,0.014051890822428774,,FALSE,FALSE
GB,ROVING_GB_DO_09262022.xlsx,OK,2022-09-26,115,115,0,4.603,0.038,72.89,NA,0,,FALSE,FALSE
OS,roving_OS_05182023 (1).xls,OK,2023-01-11,78,78,0,2.274,0.159,71.91,NA,0,,FALSE,FALSE
