ID,file,status,visit_date,n_total,n_used,n_discarded,mean_DO,sd_DO,mean_Temp,sheet_note
GB,Roving_GB_DO_50402023.csv,OK,2023-05-04,242,242,0,4.813,0.085,72.67,NA
GB,RovingDO_GB_08072023.csv,OK,2023-08-07,37,31,6,4.127,0.109,74.19,NA
GB,rovingDO_GB_AM.csv,OK,2023-05-18,185,92,93,2.668,1.569,72.9,NA
LF,DO_LittleFanning_09192022.csv,OK,2022-09-19,135,135,0,1.669,0.014,73.3,NA
LF,Roving_LF_02222023.csv,OK,2023-02-22,113,113,0,1.462,0.013,73.31,NA
LF,Roving_LF_03082023.csv,OK,2023-03-08,190,161,29,1.263,0.411,72.87,NA
LF,Roving_LF_DO_01042022.csv,OK,2023-01-04,14,14,0,1.749,0.054,74.42,NA
LF,ROVING_LF_DO_05022022.xlsx,OK,2022-05-02,11,11,0,1.943,0.085,73.14,NA
LF,roving_LittleFanning_DO_05172023 (1).csv,OK,2023-05-17,63,45,18,-18.094,132.76,53.65,NA
LF,roving_LittleFanning_DO_05172023 (2).csv,OK,2022-07-08,91,91,0,1.702,0.008,73.24,NA
LF,roving_LittleFanning_DO_05172023 (3).csv,OK,2022-07-25,79,79,0,1.752,0.035,73.61,NA
LF,roving_LittleFanning_DO_05172023 (4).csv,OK,2022-08-15,40,40,0,4.542,0.016,73.29,NA
LF,roving_LittleFanning_DO_05172023 (5).csv,OK,2022-08-24,86,86,0,1.873,0.067,74.05,NA
LF,roving_LittleFanning_DO_05172023 (6).csv,OK,2022-10-31,135,135,0,1.784,0.044,73.43,NA
LF,ROVING_LittleFanning_DO_06022022.xlsx,OK,2022-06-02,91,91,0,1.738,0.103,74.73,NA
LF,Roving_LittleFanning_DO_06272022.csv,OK,2022-06-27,87,87,0,1.68,0.072,74.28,NA
LF,rovingDO_LF_05302023.csv,OK,2023-05-30,101,44,57,2.285,0.103,74.9,NA
LF,ROVINGDO_LF_08242022 (1).csv,OK,2023-05-03,64,64,0,2.011,0.107,72.96,NA
LF,ROVINGDO_LF_08242022 (1).xls,OK,2023-01-11,63,61,2,1.616,0.142,73.31,NA
LF,ROVINGDO_LF_08242022 (1).xlsx,OK,2022-08-24,128,128,0,1.768,0.031,73.43,NA
LF,ROVINGDO_LF_08242022 (2).xlsx,OK,2023-01-25,78,78,0,2.782,0.201,73.47,no sheet named for this site; picked first non-conflicting sheet
LF,ROVINGDO_LF_08242022 (3).xlsx,OK,2022-04-18,4607,4516,91,1.8,0.05,73.24,NA
LF,ROVINGDO_LF_08242022 (4).xlsx,OK,2022-05-16,32,32,0,1.914,0.039,73.04,NA
LF,ROVINGDO_LF_08242022 (5).xlsx,OK,2022-08-08,40,40,0,1.637,0.118,76.67,NA
OS,roving_OS_05182023 (1).csv,OK,2023-05-17,121,15,106,-55.151,230.648,12.28,NA
OS,roving_OS_05182023 (1).xls,OK,2023-01-11,78,78,0,2.274,0.159,71.91,NA
OS,roving_OS_05182023 (1).xlsx,OK,2023-03-20,51,51,0,4.06,0.815,74.53,NA
OS,roving_OS_05182023 (2).csv,OK,2023-01-04,147,147,0,2.62,0.194,73.31,NA
OS,roving_OS_05182023 (2).xlsx,OK,2023-01-25,78,78,0,2.782,0.201,73.47,no sheet named for this site; picked first non-conflicting sheet
OS,roving_OS_05182023 (3).csv,OK,2022-10-17,252,223,29,4.331,1.414,73.26,NA
OS,roving_OS_05182023 (3).xlsx,OK,2022-05-16,43,43,0,1.778,0.061,74.48,NA
OS,roving_OS_05182023 (4).xlsx,OK,2022-08-08,156,156,0,1.732,0.187,74,NA
OS,roving_OS_05182023 (5).xlsx,OK,2022-09-07,172,172,0,2.344,0.165,74.75,NA
OS,roving_OS_05182023 (6).xlsx,OK,2022-10-31,90,90,0,1.737,0.032,73.05,NA
OS,roving_OS_05182023 (7).xlsx,OK,2022-05-02,157,157,0,1.847,0.086,73.48,NA
OS,roving_Otter_DO_08242022.csv,OK,2022-08-24,86,86,0,1.873,0.067,74.05,NA
OS,roving_Otter_DO_09072022.xlsx,OK,2022-09-07,60,60,0,1.609,0.06,74.39,NA
